Code CIS;codeEvnt;Date Evnt;Date Echéance;remTerme Evnt;EvntMar
60002504;33;08/10/2021;;Changement de statut;archivé
60002504;38;17/02/2021;;Changement de statut;suspension
60003620;59;28/02/2017;;Changement de procédure;changement de procédure
60007960;46;06/08/1996;;Statut actif;statut actif
60008845;46;05/03/1998;;Statut actif;statut actif
60008927;33;08/11/2019;;Changement de statut;archivé
60010166;59;12/12/2006;;Changement de procédure;changement de procédure
60014894;46;20/09/2012;;Statut actif;statut actif
60019101;46;06/10/1983;;Statut actif;statut actif
60021216;46;25/04/1988;;Statut actif;statut actif
60028050;33;20/09/2022;;Changement de statut;archivé
60030980;46;30/09/1992;;Statut actif;statut actif
60034644;46;04/08/1998;;Statut actif;statut actif
60037327;46;03/02/1998;;Statut actif;statut actif
60040145;46;13/02/1996;;Statut actif;statut actif
60046529;38;08/09/2022;;Changement de statut;suspension
60051316;33;08/09/2020;;Changement de statut;archivé
60053694;33;23/01/2018;;Changement de statut;archivé
60061171;46;17/07/1992;;Statut actif;statut actif
60068251;33;01/01/2021;;Changement de statut;archivé
60068333;33;01/01/2021;;Changement de statut;archivé
60071233;33;19/08/2022;;Changement de statut;archivé
60071952;59;02/10/2012;;Changement de procédure;changement de procédure
60072506;33;31/03/2019;;Changement de statut;archivé
60073907;2;21/10/2015;;Changement de statut;actif
60073907;33;02/12/2021;;Changement de statut;archivé
60073907;38;18/12/2014;;Changement de statut;suspension
60075064;46;08/12/1997;;Statut actif;statut actif
60083132;33;12/04/2022;;Changement de statut;archivé
60092590;46;26/04/1989;;Statut actif;statut actif
60095056;46;22/04/1996;;Statut actif;statut actif
60095729;46;27/12/1996;;Statut actif;statut actif
60105162;59;05/06/2008;;Changement de procédure;changement de procédure
60108870;33;18/11/2020;;Changement de statut;archivé
60109100;33;23/01/2018;;Changement de statut;archivé
60109303;33;25/01/2022;;Changement de statut;archivé
60110031;46;10/12/1996;;Statut actif;statut actif
60111813;59;17/02/2011;;Changement de procédure;changement de procédure
60118715;46;13/11/1991;;Statut actif;statut actif
60123979;2;10/02/2010;;Changement de statut;actif
60123979;33;16/10/2018;;Changement de statut;archivé
60123979;38;12/01/2010;;Changement de statut;suspension
60126612;46;29/05/2017;;Statut actif;statut actif
60127671;46;28/05/1996;;Statut actif;statut actif
60130354;33;28/12/2017;;Changement de statut;archivé
60130386;46;13/09/1995;;Statut actif;statut actif
60130742;33;11/08/2022;;Changement de statut;archivé
60132572;46;29/11/1990;;Statut actif;statut actif
60145801;33;20/12/2022;;Changement de statut;archivé
60150232;46;18/07/1983;;Statut actif;statut actif
60150467;33;06/12/2021;;Changement de statut;archivé
60150830;33;01/01/2021;;Changement de statut;archivé
60152607;46;20/11/1997;;Statut actif;statut actif
60154309;46;19/04/2010;;Statut actif;statut actif
60161143;59;30/08/2012;;Changement de procédure;changement de procédure
60166980;33;12/11/2018;;Changement de statut;archivé
60177628;46;27/06/2019;;Statut actif;statut actif
60178712;33;15/07/2019;;Changement de statut;archivé
60178712;46;17/02/1998;;Statut actif;statut actif
60181733;46;06/12/1995;;Statut actif;statut actif
60184188;46;01/10/1986;;Statut actif;statut actif
60196945;33;07/09/2021;;Changement de statut;archivé
60206154;46;17/07/1997;;Statut actif;statut actif
60216725;33;15/03/2018;;Changement de statut;archivé
