Code CIS;numElement;Forme pharmaceutique Elmt;Nom Element;Nom Nature;Référence dosage;Code substance;numOrdreEdit;Dosage;Nom du composant
60002283;1;comprimé;comprimé;Substances actives.;pour un comprimé;42215;1;1,00 mg pour un comprimé;anastrozole
60002504;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;49632;1;150 mg pour un comprimé;ranitidine
60002504;1;comprimé;comprimé;Substances actives.;pour un comprimé;25783;1;168 mg pour un comprimé;ranitidine (chlorhydrate de)
60003620;1;suspension;suspension;Substances actives.;pour 2 ml de suspension;04179;1;800 microgrammes pour 2 ml de suspension;béclométasone (dipropionate de)
60004277;1;gélule;gélule;Substances actives.;pour une gélule;03902;1;100,00 mg pour une gélule;fénofibrate
60004487;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;35415;1;200 mg pour un comprimé;tramadol
60004487;1;comprimé;comprimé;Substances actives.;pour un comprimé;86571;1;;tramadol (chlorhydrate de)
60004505;1;solution;solution;Substances actives.;pour un flacon de 1,5 mL de solution à diluer;97952;1;60 mg pour un flacon de 1,5 mL de solution à diluer;cabazitaxel
60004932;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;04442;1;780 mg;metformine
60004932;1;comprimé;comprimé;Substances actives.;pour un comprimé;40035;2;50 mg pour un comprimé;vildagliptine
60004932;1;comprimé;comprimé;Substances actives.;pour un comprimé;24321;1;1000 mg pour un comprimé;metformine (chlorhydrate de)
60005856;1;comprimé;comprimé;Substances actives.;pour un comprimé;04034;1;20 mg pour un comprimé;famotidine
60007437;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;19809;1;40 mg pour un comprimé;atorvastatine
60007437;1;comprimé;comprimé;Substances actives.;pour un comprimé;50091;1;;atorvastatine calcique
60007960;1;gel;gel;Substances actives.;pour 100 ml de gel;00931;2;0,5 g pour 100 ml de gel;zinc (sulfate de) heptahydraté
60007960;1;gel;gel;Substances actives.;pour 100 ml de gel;05432;1;0,6 g pour 100 ml de gel;lidocaïne (chlorhydrate de) monohydraté
60008724;1;capsule;capsule;Substances actives.;pour une capsule;36065;1;0,5 mg pour une capsule;dutastéride
60008845;1;solution;solution;Fractions thérapeutiques.;pour 100 ml de solution pour perfusion;00529;1;15 g;glucose
60008845;1;solution;solution;Substances actives.;pour 100 ml de solution pour perfusion;17150;1;16,5 g pour 100 ml de solution pour perfusion;glucose monohydraté
60008927;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;37973;1;1,5 mg pour une gélule;rivastigmine
60008927;1;gélule;gélule;Substances actives.;pour une gélule;55512;1;;rivastigmine (hydrogénotartrate de)
60009573;1;comprimé;comprimé;Substances actives.;pour un comprimé;74765;2;30 mg pour un comprimé;codéine (phosphate de) hémihydraté
60009573;1;comprimé;comprimé;Substances actives.;pour un comprimé;02202;1;500 mg pour un comprimé;paracétamol
60010084;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;42608;1;500 mg pour un flacon;thiopental sodique
60010084;1;poudre;poudre;Substances actives.;pour un flacon;03599;1;;thiopental et carbonate sodiques
60010166;1;solution;solution;Substances actives.;pour 100 ml;00901;1;5,85 g pour 100 ml;sodium (chlorure de)
60010885;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;66431;1;250 mg pour un comprimé;ciprofloxacine
60010885;1;comprimé;comprimé;Substances actives.;pour un comprimé;79482;1;;ciprofloxacine (chlorhydrate de)
60010967;1;capsule;capsule;Fractions thérapeutiques.;pour une capsule;36246;1;175,7 mg;fenticonazole
60010967;1;capsule;capsule;Substances actives.;pour une capsule;19745;1;200 mg pour une capsule;fenticonazole (nitrate de)
60014894;1;comprimé;comprimé;Substances actives.;pour un comprimé;00900;5;5 mg (4 DH) pour un comprimé;borax
