Code CIS;Code CIP13;Nature de dispositif
60002283;3400949497294;
60002283;3400949497706;
60002504;3400933208639;
60003620;3400936963504;
60004277;3400936145825;
60004487;3400939725192;
60004505;3400955074199;
60004932;3400930116791;
60005856;3400935510259;
60007437;3400949444137;
60007437;3400949444946;
60007960;3400936377554;
60008724;3400930168592;
60008845;3400932363704;
60008845;3400932363872;
60008927;3400939787237;
60009573;3400930167298;
60009573;3400930167304;
60010084;3400955060598;
60010166;3400936694651;
60010885;3400938093346;
60010967;3400933783310;
60014894;3400926617110;
60016308;3400937405942;
60016589;3400936571204;
60018088;3400936513303;
60018088;3400956582013;
60018444;3400930100998;
60018444;3400930101001;
60018896;3400927943812;
60018896;3400927944123;
60019101;3400932029808;
60019329;3400930076514;
60019350;3400930020777;
60019350;3400930142516;
60019350;3400930199848;
60019350;3400930199855;
60019350;3400935650276;
60019813;3400930238530;
60019927;3400934874741;
60019927;3400956131211;
60021127;3400934968174;
60021127;3400937383387;
60021216;3400930820339;
60021312;3400921658286;
60021771;3400926883607;
60021928;3400930173442;
60022275;3400935898845;
60023270;3400930167793;
60025054;3400927849688;
60025054;3400927849800;
60025314;3400930092651;
60025403;3400936485464;
60026957;3400936820982;
60026957;3400937016254;
60026957;3400938753318;
60027685;3400930098639;
60028050;3400938264913;
60028495;3400936986046;
60028552;3400956511792;
60029394;3400930081273;
60030699;3400955067535;
60030980;3400933993337;
60031071;3400930043431;
60033510;3400956258451;
60034085;3400922108711;
60034644;3400931025863;
60034936;3400938415797;
60035461;3400922286358;
60035714;3400939730974;avec aiguille(s)
60035924;3400949215539;avec gobelet(s) doseur(s)
60037327;3400931011736;
60037380;3400930166772;
60037380;3400930166789;
60038468;3400921967920;
60040145;3400930957974;
60040145;3400955326878;
60040469;3400934128264;
60040469;3400936366848;
60040572;3400956450848;
60041560;3400949363940;
60043038;3400930089002;
60043038;3400955031413;
60043077;3400937982863;
60043248;3400930926758;
60044492;3400926606343;
60044784;3400941626104;
60044841;3400930180969;
60044987;3400927449864;
60045217;3400930021040;
60046529;3400930203910;avec gobelet(s) doseur(s)
60047143;3400932142798;
60047182;3400936155640;
60047225;3400930212202;
60047271;3400934384066;
60047271;3400934384127;
60048672;3400938338294;
60049895;3400937335652;
60049895;3400939258331;
60051234;3400936182554;
60051316;3400926692919;
60052254;3400956283293;
60053064;3400933418595;
60053694;3400949004560;
60053694;3400949007462;
60054312;3400930181461;
60054376;3400930118214;
60056815;3400935637789;
60058008;3400937818193;
60058008;3400937818315;
60058008;3400938204421;
60058378;3400936738287;
60058378;3400937875035;
60058517;3400934126253;
60058620;3400930144213;
60059081;3400933929404;
60061171;3400941588099;
60061449;3400957006471;
60061602;3400930022849;
60061709;3400949003167;
60061709;3400949003174;
60064527;3400949000555;
60064872;3400922012865;
60065198;3400938972559;
60065198;3400939082660;
60065294;3400926765002;
60065294;3400926765170;
60067562;3400932448951;avec mesurette(s) graduée(s)
60068002;3400930074848;
60068002;3400930105122;
60068034;3400930157046;
60068251;3400949001941;
60068333;3400949001736;
60069307;3400930206348;
60069307;3400930227275;
60069339;3400921861099;
60070359;3400930148334;avec applicateur(s)
60070665;3400938152050;
60071190;3400937884310;
60071233;3400930157565;
60071379;3400934243677;
60071952;3400937974998;
60071952;3400955903482;
60072506;3400956156573;
60073451;3400934201745;
60073608;3400922179339;
60073608;3400922179629;
60073907;3400949350124;
60073914;3400938358926;
60073960;3400930157596;avec applicateur(s)
60074432;3400949000579;
60074432;3400949000586;
60074795;3400955003090;
60074795;3400955003106;
60074795;3400955003113;
60074795;3400955003120;
60074795;3400955071969;
60074795;3400955071976;
60074795;3400955071990;
60074795;3400955072003;
60074934;3400955855774;
60075064;3400930121856;
60075192;3400938823486;
60075192;3400938823547;
60075370;3400930189078;
60075452;3400930032954;
60076860;3400930204979;
60077574;3400935297068;
60077574;3400935297129;
60078078;3400927810596;
60078765;3400930064504;
60078765;3400930064528;
60079721;3400949000876;
60079721;3400949000883;
60080218;3400935881175;
60080232;3400957128340;
60082023;3400930143032;
60082062;3400936384019;
60082450;3400930243930;avec aiguille(s)
60082450;3400930243930;dans stylo pré-rempli
60083132;3400939528304;
60083132;3400939528762;
60084049;3400933590550;
60085553;3400930201398;
60088834;3400930191477;
60088834;3400930191484;
60089217;3400958418563;
60089217;3400958418792;
60091086;3400921941784;
60092590;3400931724636;
60092811;3400949003846;
60093639;3400927459689;
60094125;3400938471977;
60095056;3400933926151;
60095095;3400921801019;
60095526;3400938674033;
60095526;3400938674323;
60095729;3400934778896;
60095729;3400939933849;
60097203;3400926656430;
60097833;3400932613045;
60099738;3400936061637;
60099738;3400936061866;
60100877;3400932904587;
60101406;3400930234259;
60101406;3400930234266;
60105162;3400937792486;
60105568;3400955061977;
60106606;3400958383632;avec matériel(s) de perfusion
60106606;3400958383632;avec pansement(s)
60106606;3400958383632;avec tampon(s) alcoolisé(s)
60106848;3400921903416;
60106862;3400930207697;
60106862;3400930207703;
60107747;3400933927622;
60107932;3400933502492;
60107932;3400933502553;
60108518;3400930068960;
60108678;3400937498913;
60108870;3400935149237;
60109100;3400949002788;
60109303;3400930076163;
60110031;3400936959941;
60110031;3400936960190;
60110031;3400938315752;
60110031;3400938316063;
60110896;3400930118757;
60111101;3400938674842;
60111197;3400935931245;
60111471;3400930173848;avec seringue(s) doseuse(s)
60111471;3400930173855;avec seringue(s) doseuse(s)
60111813;3400936745322;
60113814;3400930147238;
60113814;3400930147252;
60116447;3400937471657;
60116447;3400937471947;
60116810;3400926808907;
60116810;3400926809157;
60118715;3400930258972;
60120709;3400937909594;
60120812;3400957269029;
60120812;3400957269197;
60120812;3400957269258;
60122628;3400922313993;
60122628;3400922314594;
60122699;3400930208571;
60122717;3400930085523;
60123363;3400939201030;
60123979;3400936618602;
60123979;3400936764132;
60124020;3400956217878;
60124472;3400930218402;
60124472;3400930218419;
60124999;3400922457116;
60125777;3400930164198;
60125777;3400930187821;
60126377;3400936123533;
60126594;3400927603822;
60126612;3400930084090;
60126982;3400930110836;
60127671;3400930031186;
60128339;3400930165393;
60129665;3400936595736;
60129957;3400930020364;avec aiguille(s)
60129957;3400930020364;avec seringue(s)
60130062;3400938121124;
60130354;3400937782722;
60130354;3400937782890;
60130386;3400930531556;
60130742;3400936477650;
60130742;3400936477889;
60130906;3400939645087;
60130906;3400939645667;
60131132;3400927887598;
60131132;3400937932837;
60131805;3400957738990;
60131805;3400957739652;
60132330;3400937023818;avec seringue(s) doseuse(s)
60132330;3400939827599;avec seringue(s) doseuse(s)
60132330;3400939827650;avec seringue(s) doseuse(s)
60132572;3400933196240;
60132743;3400955801146;
60133432;3400941558054;
60133973;3400937186209;
60135981;3400935922021;
60135981;3400949500086;
60136439;3400930023655;
60137021;3400930245262;
60139257;3400930016527;
60139563;3400927851179;
60139563;3400927851469;
60140010;3400930084427;
60140882;3400930026991;
60141614;3400930170885;
60142043;3400938633801;
60142043;3400938634112;
60143654;3400930111536;
60144464;3400928020116;
60145580;3400939416830;
60145580;3400939468297;
60145801;3400939072326;
60145801;3400939072555;
60148110;3400930237854;
60148167;3400939715377;
60148893;3400930221310;
60149276;3400957584344;
60150015;3400930095669;
60150015;3400930095676;avec seringue(s) pour administration orale
60150015;3400930095683;avec seringue(s) pour administration orale
60150015;3400930095690;avec seringue(s) pour administration orale
60150232;3400921791211;
60150467;3400926674410;
60150638;3400930219874;avec adaptateur(s) pour flacon
60150638;3400930219874;avec aiguille(s)
60150638;3400930219874;avec seringue(s)
60150830;3400949000241;
60150830;3400949020010;
60151124;3400927649028;
60151544;3400930082157;
60151544;3400930082188;
60151697;3400936179882;
60151843;3400955048879;
60152411;3400926721466;
60152436;3400934760457;
60152607;3400930109670;
60153239;3400956611898;avec aiguille(s) filtre(s)
60153239;3400956611898;avec seringue(s)
60153239;3400957937614;
60154017;3400949278404;
60154017;3400949279173;
60154024;3400937997072;
60154309;3400930617007;
60154743;3400930117330;
60155329;3400927693199;
60155329;3400955566823;
60155667;3400955966357;
60155788;3400935562067;
60155788;3400956311880;
60156089;3400938588293;
60156413;3400930147627;
60156413;3400930147634;
60158147;3400938337464;
60159128;3400937393324;
60159128;3400938790047;
60160479;3400930078884;
60160707;3400933525385;
60160835;3400930121528;
60161143;3400936153868;
60161143;3400936908673;
60162494;3400930048559;
60165394;3400930027356;
60165394;3400930027363;
60165857;3400941816130;
60165857;3400941816369;
60166980;3400927392351;
60168465;3400927405051;
60168465;3400927405341;
60168515;3400936346567;
60168515;3400936346628;
60170046;3400936133358;
60170224;3400939668901;
60172339;3400932912742;
60173964;3400933594923;
60175591;3400930212141;
60175716;3400936581777;
60175972;3400932419685;
60177044;3400937943833;
60177628;3400930180266;
60177628;3400930603109;
60177724;3400957890384;
60178609;3400930105214;avec embout(s)
