Code_Substance;code_Nom_Substance;Nom_Substance;Flag_Substance;Langue_nom_substance;Date_Crea_Nom_Substance;Date_Modif_Nom_Substance
00001;00001;lopéramide (chlorhydrate de);ANS nom préféré;français;08/07/1997;12/06/2009
00005;00005;acétylsalicylique (acide);ANS nom préféré;français;08/07/1997;07/02/2023
00006;00006;aspartique (acide);ANS nom préféré;français;08/07/1997;02/03/2023
00008;00008;borique (acide);ANS nom préféré;français;08/07/1997;30/06/2008
00026;00026;tartrique (acide);ANS nom préféré;français;08/07/1997;02/03/2023
00028;00028;undécylénique (acide);ANS nom préféré;français;08/07/1997;07/12/2009
00029;00029;ifosfamide;ANS nom préféré;français;08/07/1997;
00031;00031;alanine;ANS nom préféré;français;08/07/1997;06/06/2008
00033;00033;alcool benzylique;ANS autre nom;français;08/07/1997;01/10/2008
00034;00034;bupivacaïne (chlorhydrate de);ANS autre nom;français;08/07/1997;02/07/2008
00035;00035;éthanol à 96 pour cent;ANS nom préféré;français;08/07/1997;02/03/2023
00037;00037;diclofénac sodique;ANS nom préféré;français;08/07/1997;12/11/1998
00042;00042;amantadine (chlorhydrate d');ANS nom préféré;français;08/07/1997;11/06/2008
00050;00050;androstanolone;ANS nom préféré;français;08/07/1997;
00053;00053;argent (nitrate d');ANS nom préféré;français;08/07/1997;19/06/2008
00057;00057;asparaginase;ANS nom préféré;français;08/07/1997;
00059;00059;triphosadénine;ANS nom préféré;français;08/07/1997;02/06/2008
00063;00063;baryum (sulfate de);ANS nom préféré;français;08/07/1997;11/01/2023
00069;00069;bétaïne;ANS nom préféré;français;08/07/1997;
00072;00072;biotine;ANS nom préféré;français;08/07/1997;27/04/2023
00073;00073;bisacodyl;ANS nom préféré;français;08/07/1997;
00077;00077;pilocarpine (nitrate de);ANS nom préféré;français;08/07/1997;09/09/2009
00078;00078;pindolol;ANS nom préféré;français;08/07/1997;12/11/1998
00081;00081;pipobroman;ANS nom préféré;français;08/07/1997;
00082;00082;pipotiazine;ANS nom préféré;français;08/07/1997;13/11/1998
00083;00083;piracétam;ANS nom préféré;français;08/07/1997;
00086;00086;pizotifène (malate de);ANS nom préféré;français;08/07/1997;16/09/2009
00087;00087;dosulépine (chlorhydrate de);ANS nom préféré;français;08/07/1997;06/03/2009
00090;00090;potassium (sulfate de);ANS nom préféré;français;08/07/1997;03/03/2023
00093;00093;potassium (chlorure de);ANS nom préféré;français;08/07/1997;18/09/2009
00095;00095;potassium (iodure de);ANS nom préféré;français;08/07/1997;21/09/2009
00096;00096;potassium (hydroxyde de);ANS nom préféré;français;08/07/1997;12/05/2011
00101;00101;procaïne (chlorhydrate de);ANS nom préféré;français;08/07/1997;28/09/2009
00108;00108;fructose;ANS nom préféré;français;08/07/1997;23/04/2009
00112;00112;Lactobacillus fermentum;ANS nom préféré;français;08/07/1997;14/02/2023
00113;00113;aloe pour préparations homéopathiques;ANS autre nom;français;08/07/1997;13/02/2023
00114;00114;difluprednate;ANS nom préféré;français;08/07/1997;
00126;00126;tamoxifène (citrate de);ANS nom préféré;français;08/07/1997;13/11/2009
00127;00127;baume du Pérou;ANS nom préféré;français;08/07/1997;12/03/2008
00129;00129;benjoin du Laos, dit du Siam;ANS autre nom;français;08/07/1997;27/01/2023
00132;00132;boldo;ANS autre nom;français;08/07/1997;03/03/2023
00134;00134;bourdaine;ANS autre nom;français;08/07/1997;12/03/2008
00141;00141;dacarbazine;ANS nom préféré;français;08/07/1997;
00155;00155;eucalyptus (huile essentielle d');ANS nom préféré;français;08/07/1997;29/04/2013
00159;00159;thym (huile essentielle de);ANS nom préféré;français;08/07/1997;03/03/2023
00160;00160;menthe poivrée (huile essentielle de);ANS nom préféré;français;08/07/1997;16/03/2018
00163;00163;fibrinogène humain ;ANS nom préféré;français;08/07/1997;30/05/2012
00166;00166;soufre précipité;ANS nom préféré;français;08/07/1997;14/02/2023
00180;00180;bile de boeuf (extrait de) (fluide);ANS nom préféré;français;08/07/1997;
00185;00185;fénotérol (bromhydrate de);ANS nom préféré;français;08/07/1997;08/04/2009
00191;00191;acébutolol (chlorhydrate d');ANS nom préféré;français;08/07/1997;26/05/2008
00193;00193;oeillette (huile d') (esters éthyliques des acides gras iodés de l');ANS nom préféré;français;08/07/1997;16/02/2023
00195;00195;céfadroxil;ANS nom préféré;français;08/07/1997;15/02/2023
00196;00196;lévonorgestrel;ANS nom préféré;français;08/07/1997;12/11/1998
00197;00197;protiréline;ANS nom préféré;français;08/07/1997;02/10/2009
00199;00199;pinavérium (bromure de);ANS nom préféré;français;08/07/1997;01/07/2008
00200;00200;timolol (maléate de);ANS nom préféré;français;08/07/1997;25/11/2009
00210;00210;metformine (embonate de);ANS nom préféré;français;08/07/1997;10/10/2011
00213;00213;séné (feuille de);ANS nom préféré;français;08/07/1997;03/03/2023
00216;00216;sulindac;ANS nom préféré;français;08/07/1997;12/11/1998
00217;00217;magnésium (aspartate de) et de potassium;ANS nom préféré;français;08/07/1997;16/02/2023
00218;00218;thym;ANS nom préféré;français;08/07/1997;30/05/2017
00247;00247;drosera rotundifolia pour préparations homéopathiques;ANS autre nom;français;08/07/1997;09/02/2023
00250;00250;grindélia (teinture de);ANS nom préféré;français;08/07/1997;09/03/2023
00251;00251;hamamelis virginiana pour préparations homéopathiques;ANS autre nom;français;08/07/1997;14/06/2013
00252;00252;hydrastis canadensis pour préparations homéopathiques;ANS autre nom;français;08/07/1997;01/08/2013
00263;00263;passiflora incarnata pour préparations homéopathiques;ANS autre nom;français;08/07/1997;14/02/2023
00264;00264;trihexyphénidyle (chlorhydrate de);ANS nom préféré;français;08/07/1997;01/12/2009
00265;00265;china rubra pour préparations homéopathiques;ANS autre nom;français;08/07/1997;13/02/2023
00267;00267;valeriana officinalis pour préparations homéopathiques;ANS autre nom;français;08/07/1997;13/02/2023
00280;00280;amikacine (sulfate d');ANS nom préféré;français;08/07/1997;11/06/2008
00291;00291;fénoprofène;ANS nom préféré;français;08/07/1997;13/11/1998
00294;00294;fluméquine;ANS nom préféré;français;08/07/1997;
00297;00297;lysine (acétate de);ANS nom préféré;français;08/07/1997;16/12/2011
00304;00304;ferreux (succinate);ANS nom préféré;français;08/07/1997;09/04/2009
00312;00312;céfalexine monohydratée;ANS nom préféré;français;08/07/1997;24/10/2007
00313;00313;triamtérène;ANS nom préféré;français;08/07/1997;12/11/1998
00323;00323;triclocarban;ANS nom préféré;français;08/07/1997;
00328;00328;bromocriptine (mésilate de);ANS nom préféré;français;08/07/1997;01/07/2008
00332;00332;podophyllum peltatum pour préparations homéopathiques;ANS autre nom;français;08/07/1997;13/02/2023
00335;00335;spiramycine (adipate de);ANS nom préféré;français;08/07/1997;13/11/1998
00336;00336;myrtécaïne (laurilsulfate de);ANS nom préféré;français;08/07/1997;04/08/2009
00338;00338;trimétazidine (dichlorhydrate de);ANS nom préféré;français;08/07/1997;02/12/2009
00342;00342;triméthoprime;ANS nom préféré;français;08/07/1997;12/11/1998
00345;00345;chénodésoxycholique (acide) ;ANS nom préféré;français;08/07/1997;12/01/2023
00346;00346;poly(alcool vinylique);ANS nom préféré;français;08/07/1997;17/09/2009
00355;00355;trimébutine (maléate de);ANS nom préféré;français;08/07/1997;21/10/2021
00356;00356;trométamol;ANS nom préféré;français;08/07/1997;31/08/2010
00357;00357;trométamol (citrate de);ANS autre nom;français;08/07/1997;16/02/2023
00358;00358;tropicamide;ANS nom préféré;français;08/07/1997;03/09/2010
00360;00360;trimipramine (mésilate de);ANS nom préféré;français;08/07/1997;02/12/2009
00361;00361;troxérutine;ANS nom préféré;français;08/07/1997;15/09/2010
00374;00374;érythromycine (éthylsuccinate d');ANS nom préféré;français;08/07/1997;27/07/2010
00376;00376;urokinase ;ANS nom préféré;français;08/07/1997;04/02/2013
00381;00381;phénytoïne sodique;ANS nom préféré;français;08/07/1997;04/09/2009
00382;00382;lévothyroxine sodique;ANS nom préféré;français;08/07/1997;10/07/2013
00390;00390;pénicillamine;ANS nom préféré;français;08/07/1997;31/08/2009
00414;00414;bismuth (sous-succinate de);ANS nom préféré;français;08/07/1997;28/04/2023
00420;00420;caféine;ANS nom préféré;français;08/07/1997;28/02/2007
00421;00421;calcifédiol monohydraté;ANS nom préféré;français;08/07/1997;04/07/2013
00428;00428;calcium (carbonate de);ANS autre nom;français;08/07/1997;07/07/2008
00431;00431;phosphate tricalcique;ANS nom préféré;français;08/07/1997;08/09/2009
00432;00432;calcium (gluconate de);ANS nom préféré;français;08/07/1997;21/11/2018
00436;00436;camphre racémique;ANS nom préféré;français;08/07/1997;23/07/2008
00440;00440;carmellose sodique;ANS nom préféré;français;08/07/1997;30/07/2008
00459;00459;sodium (calcium édétate de);ANS autre nom;français;08/07/1997;23/07/2008
00461;00461;clobazam;ANS nom préféré;français;08/07/1997;13/11/1998
00463;00463;clonazépam;ANS nom préféré;français;08/07/1997;12/11/1998
00464;00464;clonidine (chlorhydrate de);ANS nom préféré;français;08/07/1997;23/10/2008
00467;00467;codéine;ANS nom préféré;français;08/07/1997;27/10/2008
00469;00469;colchicine;ANS nom préféré;français;08/07/1997;29/10/2008
00471;00471;cortivazol;ANS nom préféré;français;08/07/1997;
00473;00473;sodium (cromoglicate de);ANS autre nom;français;08/07/1997;21/10/2009
00474;00474;cuivre (sulfate de) pentahydraté;ANS nom préféré;français;08/07/1997;19/11/2008
00489;00489;chlorpromazine (chlorhydrate de);ANS nom préféré;français;08/07/1997;23/09/2008
00500;00500;prednisolone (caproate de);ANS nom préféré;français;08/07/1997;28/09/2009
00503;00503;céfalotine sodique;ANS nom préféré;français;08/07/1997;12/11/1998
00509;00509;fer (oxalate de);ANS nom préféré;français;08/07/1997;09/03/2023
00512;00512;ferreux (ascorbate);ANS nom préféré;français;08/07/1997;
00515;00515;sodium (flavodate de);ANS autre nom;français;08/07/1997;07/02/2023
