Code_Substance;code_Nom_Substance;Nom_Substance;Flag_Substance
45730;25379    ;(S)-lactate de sodium;ANS nom préféré
04703;87829    ;4-aminobenzoïque (acide);ANS nom préféré
26622;26622    ;5-aminolévulinique (acide);ANS nom préféré
31844;65799    ;abacavir;ANS nom préféré
59266;59266    ;abacavir (chlorhydrate d') monohydraté;ANS nom préféré
77742;77742    ;abacavir (sulfate d');ANS nom préféré
97144;97144    ;abatacept ;ANS nom préféré
99176;99176    ;abciximab (c7E3b Fab);ANS nom préféré
01356;01356    ;abeille (venin d');ANS nom préféré
50947;50947    ;abémaciclib;ANS nom préféré
26125;41893;abies nigra ((Homéopathie));ANS nom préféré
76107;76107    ;abiratérone;ANS nom préféré
37304;37304    ;abiratérone (acétate d');ANS nom préféré
29566;29566    ;abrocitinib;ANS nom préféré
07886;87088;absinthium ((Homéopathie));ANS nom préféré
16367;16367    ;acalabrutinib;ANS nom préféré
79480;79480    ;acamprosate calcique;ANS nom préféré
20540;20540    ;acarbose;ANS nom préféré
63130;43164    ;acébutolol;ANS nom préféré
00191;00191    ;acébutolol (chlorhydrate d');ANS nom préféré
62180;62180    ;acéclofénac;ANS nom préféré
00998;00998    ;acénocoumarol;ANS nom préféré
88822;95717    ;acétate de leuproréline;ANS nom préféré
00631;93273    ;acétate de sodium trihydraté;ANS nom préféré
01006;01006    ;acétazolamide;ANS nom préféré
87828;92192;aceticum acidum ((Homéopathie));ANS nom préféré
04108;04108    ;acétique (acide);ANS nom préféré
13647;13647    ;acétique glacial (acide);ANS nom préféré
05759;05759    ;acétylcholine (chlorure d');ANS nom préféré
01014;01014    ;acétylcystéine;ANS nom préféré
04129;04129    ;acétylleucine;ANS nom préféré
03107;94134    ;acétylsalicylate de DL-lysine;ANS nom préféré
00005;00005    ;acétylsalicylique (acide);ANS nom préféré
25715;25715    ;aciclovir;ANS nom préféré
62546;62546    ;acide 5-aminolévulinique (chlorhydrate de l');ANS nom préféré
35532;35532    ;acide alendronique;ANS nom préféré
90673;90673    ;acide folinique;ANS nom préféré
94866;94866    ;acide gadobénique;ANS nom préféré
08578;08578    ;acitrétine;ANS nom préféré
90708;90708    ;actée à grappes (rhizome d'), extrait sec de;ANS nom préféré
80114;80114    ;adalimumab ;ANS nom préféré
69506;69506    ;adapalène;ANS nom préféré
58472;58472    ;adéfovir;ANS nom préféré
56132;56132    ;adéfovir dipivoxil;ANS nom préféré
02405;02405    ;adénosine;ANS nom préféré
38296;73149    ;adénosine (triphosphate d') disodique trihydraté;ANS nom préféré
94712;94712    ;adénosine triphosphate disodique;ANS nom préféré
57624;81195    ;adénovirus de chimpanzé codant pour la glycoprotéine Spike du SARS-CoV-2 ;ANS nom préféré
32597;32597    ;adénovirus type 26 codant pour la protéine Spike du SARS-CoV-2 ;ANS nom préféré
01080;01080    ;adrénaline;ANS nom préféré
04862;04862    ;adrénaline (chlorhydrate d');ANS nom préféré
04280;04280    ;adrénaline (tartrate d');ANS nom préféré
08612;93931;adrenalinum ((Homéopathie));ANS nom préféré
04557;07120    ;aescine;ANS nom préféré
04614;24654;aesculus hippocastanum ((Homéopathie));ANS nom préféré
61992;61992    ;afatinib;ANS nom préféré
30488;30488    ;afatinib (dimaléate d');ANS nom préféré
47903;47903    ;aflibercept ;ANS nom préféré
35374;35374    ;agalsidase alfa ;ANS nom préféré
40067;40067    ;agalsidase bêta ;ANS nom préféré
24025;19657;agnus castus ((Homéopathie));ANS nom préféré
38188;38188    ;agomélatine;ANS nom préféré
24441;24441    ;agomélatine-acide citrique (co-cristal d');ANS nom préféré
00031;00031    ;alanine;ANS nom préféré
03348;03348    ;albendazole;ANS nom préféré
04871;91489    ;albumine humaine (solution d') ;ANS nom préféré
77753;77753    ;albumine humaine iodée [125 I] ;ANS nom préféré
51742;51742    ;albumine humaine plasmatique ;ANS nom préféré
55647;99020    ;albumine humaine plasmatique (macroagrégats d');ANS nom préféré
