Code_CIS;Code_CIP13;Code_CIP7;Nom_Presentation
69999429;3400936171619;3617161;plaquette(s) PVC-Aluminium de 24 comprimé(s)
69999429;3400936025677;3602567;plaquette(s) PVC-Aluminium de 12 comprimé(s)
69998996;3400930087718;;10 ampoule(s) polypropylène de 10 ml
69998640;3400933765620;3376562;1 tube(s) polyéthylène aluminium avec canule de 15 g
69998156;3400934502064;3450206;1 flacon(s) de 150 ml en verre brun avec fermeture de sécurité enfant  avec gobelet doseur gradué polypropylène
69998003;3400930138113;;plaquette(s) PVC PVDC aluminium de 30 comprimé(s)
69997905;3400949252619;4925261;plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s)
69997905;3400939161365;3916136;plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s)
69997481;3400939180236;3918023;plaquette(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s)
69996970;3400931328193;3132819;24 sachet(s)-dose(s) papier de 1,8  g
69995637;3400938609677;3860967;plaquette(s) thermoformée(s) PVC PVDC aluminium de 8 comprimé(s)
69995434;3400930140024;;tube(s) polypropylène de 20 comprimé(s)
69995434;3400927607035;2760703;film(s) thermosoudé(s) aluminium polyéthylène de 20 comprimé(s)
69995142;3400934772344;3477234;tube(s) polypropylène de 30 comprimé(s)
69994784;3400930150948;;30 flacons en verre de 5 mL
69994784;3400930150931;;1 flacon en verre de 5 mL
69993198;3400930174074;;plaquette(s) PVC PVDC aluminium de 56 comprimé(s)
69991749;3400926888688;2688868;1 seringue(s) préremplie(s) en verre de 0,15 ml avec aiguille(s)
69991083;3400930045374;;1 flacon(s) en verre type III de 2,5 ml avec 20 spatule(s)
69990857;3400930073537;;1 flacon(s) polyéthylène haute densité (PEHD) de 30 comprimé(s) avec sécurité enfant
69990800;3400931406297;3140629;plaquette(s) thermoformée(s) PVC PVDC aluminium de 6  comprimé(s)
69990693;3400931668305;3166830;1 flacon(s) en verre de 5 ml
69989602;3400941703546;4170354;plaquette(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s)
69989424;3400935805416;3580541;plaquette(s) PVC PVDC aluminium de 30 gélule(s)
69987156;3400957554477;5755447;5 flacon(s) en verre de 24,675 mg
69987156;3400957554309;5755430;2 flacon(s) en verre de 24,675 mg
69985835;3400949624638;4962463;plaquette(s) PVC PVDC aluminium de 90 comprimé(s)
69985835;3400949624348;4962434;plaquette(s) PVC PVDC aluminium de 30 comprimé(s)
69985582;3400955066279;;5 ampoules en verre de 2 mL
69985493;3400957335175;5733517;10 flacon(s) en verre de 500 ml
69985493;3400957335007;5733500;10 flacon(s) en verre de 250 ml
69985493;3400932725328;3272532;1 flacon(s) en verre de 250 ml
69985493;3400932371518;3237151;1 flacon(s) en verre de 1000 ml
69985493;3400932319701;3231970;1 flacon(s) en verre de 500 ml
69985098;3400932247400;3224740;plaquette(s) thermoformée(s) aluminium PVC PVDC de 25 gélule(s)
69984085;3400930853627;3085362;1 flacon(s) polyéthylène de 10 ml
69983777;3400958698668;5869866;5 flacon(s) en verre brun
69982928;3400939184029;3918402;plaquette(s) PVC polyéthylène PVDC aluminium papier avec fermeture de sécurité enfant de 28 comprimé(s)
69982586;3400935260918;3526091;5 poche(s) polyamide polypropylène suremballée/surpochée de 1875 ml à 3 compartiments
69982223;3400935045638;3504563;plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 90 comprimé(s)
69982223;3400935045119;3504511;plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s)
69981979;3400936249943;3624994;plaquette(s) papier polyéthylène aluminium de 2 comprimé(s)
69980852;3400937723640;3772364;flacon(s) polyéthylène haute densité (PEHD) de 14 comprimé(s)
69980699;3400931178200;3117820;plaquette(s) thermoformée(s) PVC aluminium de 60 comprimé(s)
69979597;3400934408342;3440834;1 tube(s) aluminium verni de 50 g
69979273;3400930063064;;10 flacon(s) en verre
69978449;3400927694431;2769443;30 sachet(s) papier polytéréphtalate (PET) aluminium polyacrylonitrile avec fermeture de sécurité enfant de 1 dispositif(s)
69978246;3400933314019;3331401;1 flacon(s) en verre avec fermeture de sécurité enfant contenant 5,13 g de poudre avec seringue(s) pour administration orale polypropylène polyéthylène
69978029;3400930228074;;20 récipient(s) unidose(s) polyéthylène basse densité (PEBD) de 5 ml
69977393;3400937658843;3765884;plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s)
69977393;3400937658553;3765855;plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s)
69977258;3400930084939;;60 plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium unidose(s) de 1 comprimé(s)
69976462;3400937625494;3762549;plaquette(s) PVC-Aluminium de 84 comprimé(s)
69976462;3400935836113;3583611;plaquette(s) PVC-Aluminium de 28 comprimé(s)
69976277;3400938766035;3876603;plaquette(s) PVC-Aluminium de 112 comprimé(s)
69976277;3400938765663;3876566;plaquette(s) PVC-Aluminium de 42 comprimé(s)
69976277;3400938765373;3876537;plaquette(s) PVC-Aluminium de 10 comprimé(s)
69974746;3400956716968;5671696;plaquette(s) PVC polyéthylène PVDC aluminium de 98 comprimé(s)
69974746;3400936954397;3695439;plaquette(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s)
69974746;3400930235430;;plaquette(s) PVC polyéthylène PVDC aluminium de 56 comprimé(s)
69974276;3400936975620;3697562;plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 gélule(s)
69974276;3400936975569;3697556;plaquette(s) thermoformée(s) PVC PVDC aluminium de 28 gélule(s)
69974066;3400938739299;3873929;plaquette(s) polyamide aluminium PVC-Aluminium de 90 comprimé(s)
69974066;3400938596748;3859674;plaquette(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s)
69973822;3400936261020;3626102;30 sachet(s)-dose(s) papier polyéthylène PVDC de 10 g
69972923;3400934449093;3444909;plaquette(s) PVC aluminium de 28 comprimé(s)
69972332;3400930170458;;1 seringue préremplie en verre de 1 mL en stylo prérempli
69970484;3400934869839;3486983;1 flacon(s) polyéthylène haute densité (PEHD) de 30 comprimé(s)
69970484;3400934869778;3486977;plaquette(s) PVC-Aluminium de 30 comprimé(s)
69970324;3400956451678;5645167;1 flacon(s) en verre de poudre de 1000 UI - 1 flacon(s) en verre de solvant de 10 ml - 1 flacon(s) en verre de poudre de 500 UI - 1 flacon(s) en verre de solvant de 5 ml avec deux dispositif(s) de transfert
69969425;3400939111919;3911191;plaquette(s) PVC-Aluminium de 30 comprimé(s)
69969418;3400926604622;2660462;plaquette(s) formée(s) à froid polyamide aluminium PVC-Aluminium de 90 comprimé(s)
69969418;3400926604103;2660410;plaquette(s) formée(s) à froid polyamide aluminium PVC-Aluminium de 30 comprimé(s)
69968095;3400934764479;3476447;5 ampoule(s) en verre de 1 ml
69967748;3400933483999;3348399;10 sachet(s)-dose(s) aluminium polyéthylène papier de 10  g
69967246;3400938084931;3808493;plaquette(s) PVC-Aluminium de 30 comprimé(s)
69967100;3400930023792;;plaquette(s) PVC-Aluminium de 84 gélule(s)
69966888;3400955031116;;1 flacon(s) en verre de 0,9 ml
69966525;3400930236567;;flacon(s) multidose(s) en verre de 1 ml
69966450;3400930106495;;plaquette(s) aluminium de 30 gélule(s)
69966450;3400930106464;;plaquette(s) aluminium de 15 gélule(s)
69963066;3400927892912;2789291;30 plaquette(s) thermoformée(s) PVC-Aluminium de 1 comprimé(s)
69962765;3400930110959;;30 plaquette(s) aluminium OPA : polyamide orienté PVC-Aluminium de 1 comprimé(s)
69962313;3400930149263;;plaquette(s) PVC PVDC aluminium de 90 gélule(s)
69962142;3400941594304;4159430;plaquette(s) PVC PVDC aluminium de 90 comprimé(s)
69962142;3400941593871;4159387;plaquette(s) PVC PVDC aluminium de 30 comprimé(s)
69961371;3400927571091;2757109;plaquette(s) PVC PVDC aluminium de 30 gélule(s)
69961204;3400930255834;;1 flacon(s) polyéthylène basse densité (PEBD) compte-gouttes (incorporé) de 5 ml
69960643;3400930147696;;plaquette(s) PVC-Aluminium de 84 gélule(s)
69960643;3400930147689;;plaquette(s) PVC-Aluminium de 56 gélule(s)
69960586;3400936909335;3690933;plaquette(s) thermoformée(s) PVC PVDC aluminium de 2 capsule(s)
69960586;3400933783488;3378348;plaquette(s) thermoformée(s) PVC PVDC aluminium de 1 capsule(s)
69959452;3400934213571;3421357;6 ampoule(s) en verre de 5 ml
69955824;3400936094406;3609440;1 tube(s) aluminium verni de 100  g
69954238;3400956114702;5611470;10 ampoule(s) en verre de 10 ml
69953524;3400935858054;3585805;8 sachet(s) aluminium de 1 dispositif(s)
69953339;3400930099957;;plaquette(s) PVC aluminium de 30 comprimé(s)
69950357;3400939765815;3976581;plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 gélule(s)
69950357;3400931972273;3197227;plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 90 gélule(s)
69949390;3400930228159;;1 seringue(s) préremplie(s) en verre de 1 ml
69948865;3400955073925;;10 ampoule(s) de 8 ml
69948865;3400955073901;;10 ampoule(s) de 4 ml
69948420;3400934599057;3459905;2 flacon(s) polyéthylène de 45 mL
69948235;3400930144503;;plaquette(s) PVC PVDC aluminium de 28 comprimé(s)
69948153;3400934692178;3469217;1 flacon(s) polyéthylène haute densité (PEHD) de 10 ml avec pompe(s) équipé d'un manchon
69947902;3400933187545;3318754;1 flacon(s) polyéthylène dioxyde de titane de 30  g
69946266;3400930160770;;1 flacon(s) en verre de 20 mL
69946106;3400935634139;3563413;plaquette(s) aluminium de 28 comprimé(s)
69945545;3400930011140;;6 plaquette(s) aluminium PVC PVDC de 1 comprimé(s)
69943900;3400934884627;3488462;30 récipient(s) unidose(s) polyéthylène basse densité (PEBD) de 0,3 ml suremballée(s)/surpochée(s)
69942983;3400930169841;;plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s)
69942983;3400930169834;;plaquette(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s)
69942798;3400938001037;3800103;20 ampoule(s) Mini-Plasco polyéthylène de 20 ml
69941714;3400935618160;3561816;plaquette(s) PVC-Aluminium de 30 comprimé(s)
69941269;3400930021026;;10 plaquette(s) polyamide aluminium PVC-Aluminium de 1 gélule(s) avec inhalateur(s)
69941269;3400926754983;2675498;30 plaquette(s) polyamide aluminium PVC-Aluminium de 1 gélule(s) avec inhalateur(s)
