Code_CIS;Code_CIP13;Num_Element;Nom_Element;Recipient
60004505;3400955074199;2;solvant;flacon(s)
60043248;3400930926758;2;solvant;seringue(s) préremplie(s)
60047143;3400932142798;2;solution;ampoule(s)
60084049;3400933590550;2;solvant;flacon(s)
60092811;3400949003846;2;solvant;ampoule(s)
60106606;3400958383632;2;solvant;seringue(s) préremplie(s)
60153239;3400956611898;2;solvant;flacon(s)
60153239;3400957937614;2;solvant;flacon(s)
60181231;3400958576560;2;solvant;flacon(s)
60183061;3400956689613;2;solution;flacon(s)
60195156;3400930002841;2;solvant;ampoule(s)
60216127;3400955022817;2;solvant;flacon(s)
60235330;3400935567550;2;solvant;ampoule(s)
60256036;3400955022879;2;solvant;seringue(s) préremplie(s)
60259993;3400956610600;2;solvant;flacon(s)
60272948;3400957714178;2;solvant;ampoule(s)
60287206;3400955004011;2;solvant;flacon(s)
60351694;3400955003960;2;solvant;flacon(s)
60368028;3400930001431;2;solvant;seringue(s) préremplie(s)
60397542;3400930066690;2;comprimé blanc;plaquette(s)
60397542;3400930066713;2;comprimé blanc;plaquette(s)
60443413;3400957178376;2;diluant;flacon(s)
60444084;3400956230716;2;solvant;flacon(s)
60462328;3400955605485;2;solvant;ampoule(s)
60549797;3400937609647;2;solvant;seringue(s) préremplie(s)
60549797;3400937609708;2;solvant;seringue(s) préremplie(s)
60601728;3400941689208;2;solvant;flacon(s)
60602449;3400955015826;2;solvant;seringue(s) préremplie(s)
60617052;3400934626753;2;solvant;ampoule(s)
60635125;3400955837565;3;solvant;flacon(s)
60639255;3400936690929;2;solvant;seringue(s) préremplie(s)
60650426;3400935177902;2;solvant;seringue(s) préremplie(s)
60664365;3400934384707;2;solvant;cartouche(s)
60689468;3400930234051;2;comprimé placebo blanc;plaquette(s) thermoformée(s)
60689468;3400930234068;2;comprimé placebo blanc;plaquette(s) thermoformée(s)
60719986;3400949194094;2;comprimé blanc;plaquette(s)
60719986;3400949194155;2;comprimé blanc;plaquette(s)
60741986;3400956113170;2;solvant;flacon(s)
60759938;3400955627777;2;solution;ampoule(s)
60787186;3400930236673;2;solvant;seringue(s) préremplie(s)
60796281;3400956619245;2;solvant;seringue(s) préremplie(s)
60797807;3400955016595;2;solvant;seringue(s) préremplie(s)
60797807;3400955027188;2;solvant;seringue(s) préremplie(s)
60828074;3400949005109;2;solvant;ampoule(s)
60839455;3400958343940;2;solvant;seringue(s) préremplie(s)
60897889;3400955070221;2;solvant;flacon(s)
60897889;3400955070221;3;matrice;plaquette(s)
60897889;3400956451159;2;solvant;flacon(s)
60897889;3400956451159;3;matrice;plaquette(s)
60928199;3400949004744;2;solvant;ampoule(s)
60932500;3400958384172;2;solvant;seringue(s) préremplie(s)
60937230;3400957987701;2;solvant;seringue(s) préremplie(s)
60944716;3400955029083;2;solvant;flacon(s)
60946980;3400930066737;2;comprimé blanc;plaquette(s)
60956323;3400937593007;2;solvant;seringue(s) préremplie(s)
60973899;3400930018644;2;solvant;poche(s)
60973899;3400935395672;2;solvant;poche(s)
60989476;3400955052722;2;solvant;seringue(s) préremplie(s)
60991573;3400956193714;2;solvant;flacon(s)
60991573;3400956193882;2;solvant;flacon(s)
61054849;3400937515115;2;solvant;ampoule(s)
61077869;3400936466135;2;solvant;flacon(s)
61104024;3400933472016;2;solvant;seringue(s) préremplie(s)
61105215;3400956011414;2;solvant;flacon(s)
61105215;3400956019397;2;solvant;flacon(s)
61145900;3400955977292;2;solvant;flacon(s)
61164690;3400936744141;2;solvant;ampoule(s)
61166549;3400937609357;2;solvant;seringue(s) préremplie(s)
61166549;3400937609418;2;solvant;seringue(s) préremplie(s)
61189195;3400956213627;2;solvant;flacon(s)
61196720;3400930071700;2;solvant;seringue(s) préremplie(s)
61253153;3400930142998;2;solvant;flacon(s)
61273686;3400930149157;2;comprimé placébo blanc;plaquette(s)
61335127;3400941908132;2;comprimé jaune placebo;plaquette(s) thermoformée(s)
61335127;3400941908361;2;comprimé jaune placebo;plaquette(s) thermoformée(s)
61392249;3400955597469;2;solution;ampoule(s)
61400411;3400922178967;2;comprimé rouge;plaquette(s)
61400411;3400922179049;2;comprimé rouge;plaquette(s)
61411315;3400955029106;2;solvant;flacon(s)
61415541;3400921787597;2;solvant;flacon(s)
61454487;3400934626524;2;solvant;ampoule(s)
61476925;3400932675258;2;solvant;ampoule(s)
61493159;3400935567260;2;solvant;ampoule(s)
61517592;3400930267219;2;solvant;ampoule(s)
61536144;3400922014708;2;comprimé blanc;plaquette(s)
61581417;3400932141159;2;solvant;ampoule(s)
61598943;3400955047230;2;solvant;flacon(s)
61613014;3400957115791;2;solvant;seringue(s) préremplie(s)
61645574;3400955022770;2;solvant;flacon(s)
61681780;3400934384417;2;solvant;cartouche(s) bicompartimentée(s)
61703935;3400956140084;2;solvant;flacon(s)
61716295;3400956338856;2;solvant;flacon(s)
61727306;3400938840407;2;comprimé placebo blanc;plaquette(s)
61727306;3400938840575;2;comprimé placebo blanc;plaquette(s)
61731639;3400932843633;2;solvant;flacon(s)
61766070;3400955004721;2;solvant;flacon(s)
61846118;3400957459635;2;solvant;flacon(s)
61881699;3400930021545;2;solvant;seringue(s) préremplie(s)
61881699;3400936510920;2;solvant;seringue(s) préremplie(s)
61896473;3400935137340;2;solvant;seringue(s) préremplie(s)
61901618;3400936057036;2;solvant;ampoule(s)
61906519;3400955029069;2;solvant;flacon(s)
61918795;3400956199167;2;solvant;flacon(s)
61920725;3400931837220;2;solvant;seringue(s) préremplie(s)
61929560;3400955627487;2;solvant;ampoule(s)
61970233;3400930023877;2;solvant;seringue(s) préremplie(s)
61975465;3400934405730;1;solution;flacon(s)
62003633;3400955013471;2;solution;flacon(s)
62022046;3400926905811;2;comprimé vert placebo (inactif);plaquette(s)
62022046;3400926905989;2;comprimé vert placebo (inactif);plaquette(s)
62043026;3400930217030;2;comprimé blanc placebo;plaquette(s)
62043026;3400930217047;2;comprimé blanc placebo;plaquette(s)
62084553;3400957115852;2;solvant;seringue(s) préremplie(s)
62102962;3400935081018;2;solvant;seringue(s) préremplie(s)
62102962;3400936993488;2;solvant;seringue(s) préremplie(s)
62113300;3400935744869;2;solvant;ampoule(s)
62158320;3400935663115;2;solvant;ampoule(s)
62251707;3400937644426;2;comprimé placebo (blanc);plaquette(s)
62251707;3400937644594;2;comprimé placebo (blanc);plaquette(s)
62252467;3400930159552;2;solvant;flacon(s)
62280018;3400955082729;2;solvant;poche(s)
62308389;3400955308089;2;lyophilisat blanc;flacon(s)
62331391;3400930023860;2;solvant;seringue(s) préremplie(s)
62333524;3400958574498;2;solvant;seringue(s) préremplie(s)
62361438;3400957441883;2;solvant;flacon(s)
62361438;3400957441944;2;solvant;flacon(s)
62361751;3400937717618;2;diluant;flacon(s)
62403976;3400936690868;2;solvant;seringue(s) préremplie(s)
62410629;3400957767747;2;solvant;flacon(s)
62416105;3400932430161;2;solution;ampoule(s)
62416105;3400955409366;2;solution;ampoule(s)
62445555;3400935744050;2;solvant;ampoule(s)
62479447;3400930166246;2;solvant;seringue(s) préremplie(s)
62521070;3400936277229;2;solvant;seringue(s) préremplie(s)
62538194;3400935681614;2;solvant;ampoule(s)
62676989;3400938614930;1;solvant;ampoule(s)
62712912;3400927435966;2;solvant;seringue(s) préremplie(s)
62712912;3400927436048;2;solvant;seringue(s) préremplie(s)
62723129;3400936221857;2;solvant;flacon(s)
62735380;3400933572341;2;solution;ampoule(s)
62756314;3400934384646;2;solvant;cartouche(s) bicompartimentée(s)
62791557;3400936744202;2;solvant;ampoule(s)
62842966;3400932850266;2;solvant;ampoule(s)
62887057;3400949191543;2;comprimé blanc;plaquette(s)
62887057;3400949191604;2;comprimé blanc;plaquette(s)
62981909;3400957987879;2;solvant;seringue(s) préremplie(s)
63009087;3400941845574;2;solvant;ampoule(s)
63009087;3400941845635;2;solvant;ampoule(s)
63023286;3400955004028;2;solvant;seringue(s) préremplie(s)
63031888;3400955721901;2;solvant;ampoule(s)
63068769;3400956339167;2;solvant;flacon(s)
63071085;3400926752514;2;comprimé rouge;plaquette(s)
63071085;3400926752682;2;comprimé rouge;plaquette(s)
63073136;3400956209606;2;solvant;flacon(s)
63090413;3400957817695;2;agent réducteur;flacon(s)
63090413;3400957817695;3;tampon;flacon(s)
63090819;3400955417699;2;solution;flacon(s)
63090819;3400955417699;5;solution des flacons sous vide;flacon(s)
63090819;3400955417699;6;compresse de désinfection;sachet(s)
63096551;3400936923690;2;solvant;ampoule(s)
63102506;3400955022800;2;solvant;flacon(s)
63112361;3400930115053;2;solvant;seringue(s) préremplie(s)
63191266;3400956338917;2;solvant;flacon(s)
63193915;3400930185797;2;gélule 125 mg;plaquette(s)
63264287;3400956209835;2;solvant;flacon(s)
63269327;3400956139835;2;solvant;flacon(s)
63286611;3400933282677;2;solvant;flacon(s)
63314092;3400955062684;2;solvant;seringue(s) préremplie(s)
63329030;3400939432687;2;solvant;seringue(s) préremplie(s)
63356814;3400956578740;2;solvant;flacon(s)
63362240;3400957469160;2;solvant;flacon(s)
63369480;3400955076100;2;solvant;flacon(s)
63447580;3400957822668;2;solvant;seringue(s) préremplie(s)
63463588;3400930305331;2;solution;ampoule(s)
63518458;3400956619184;2;solvant;seringue(s) préremplie(s)
63523836;3400934428272;2;solvant;ampoule(s)
63548469;3400957713409;2;solvant;ampoule(s)
63558417;3400937575317;2;solution;ampoule(s)
63589409;3400930122112;2;solvant;seringue(s) préremplie(s)
63615576;3400935157560;2;comprimé blanc;plaquette(s)
63615576;3400935157621;2;comprimé blanc;plaquette(s)
63617876;3400955718420;2;solvant;flacon(s)
63617876;3400955852933;2;solvant;flacon(s)
63617876;3400955853015;2;solvant;flacon(s)
63646237;3400955052739;2;solvant;seringue(s) préremplie(s)
63675185;3400933187026;2;solution;ampoule(s)
63686801;3400955365389;2;solvant;ampoule(s)
63700749;3400949000470;2;solvant;seringue(s) préremplie(s)
63709164;3400957403454;2;solvant;flacon(s)
63756662;3400955004004;2;solvant;flacon(s)
63822272;3400926922610;2;comprimé inactif blanc;plaquette(s)
63822272;3400926922788;2;comprimé inactif blanc;plaquette(s)
63833888;3400932669684;2;solvant;flacon(s)
63841034;3400935548399;2;solvant;ampoule(s)
63886517;3400958384233;2;solvant;seringue(s) préremplie(s)
63886766;3400921676327;2;solvant;seringue(s) préremplie(s)
63933319;3400933282738;2;solvant;flacon(s)
63964656;3400955015819;2;solvant;seringue(s) préremplie(s)
63965053;3400957115913;2;solvant;seringue(s) préremplie(s)
63992157;3400949000289;2;solvant;seringue(s) préremplie(s)
64018712;3400935590503;2;solvant;ampoule(s)
64052814;3400930021095;2;solvant;seringue(s) préremplie(s)
64052814;3400930021101;2;solvant;seringue(s) préremplie(s)
64077917;3400955605317;2;solvant;ampoule(s)
64099785;3400930140574;2;comprimé placebo (jaune);plaquette(s)
64156624;3400934216015;2;solvant;seringue(s) préremplie(s)
64178204;3400935750433;2;solution de colorant;flacon(s)
64178204;3400956393046;2;solution de colorant;flacon(s)
64183564;3400930155110;2;solvant;seringue(s) préremplie(s)
64183564;3400930172759;2;solvant;seringue(s) préremplie(s)
64196782;3400955074243;2;solvant;ampoule(s)
64197553;3400930188316;2;solvant;flacon(s)
64226503;3400949194384;2;comprimé blanc;plaquette(s)
64266526;3400958574559;2;solvant;seringue(s) préremplie(s)
64269668;3400937328210;2;solvant;seringue(s) préremplie(s)
64280351;3400955029113;2;solvant;flacon(s)
64313253;3400935985583;2;solvant;seringue(s) préremplie(s)
64343816;3400956578511;2;solvant;flacon(s)
64343816;3400956578689;2;solvant;flacon(s)
64361814;3400934385186;2;solvant;cartouche(s) bicompartimentée(s)
64369088;3400930180532;2;solvant;seringue(s) préremplie(s)
64400612;3400930001417;2;solvant;seringue(s) préremplie(s)
64421453;3400957497194;2;solvant;flacon(s)
64440763;3400955015802;2;solvant;seringue(s) préremplie(s)
64445956;3400958720871;2;solvant;flacon(s)
64458989;3400938121933;2;solvant;flacon(s)
64458989;3400938122183;2;solvant;flacon(s)
64460075;3400949003938;2;solvant;ampoule(s)
64477690;3400955029090;2;solvant;flacon(s)
64488861;3400937720229;2;solvant;seringue(s) préremplie(s)
64494476;3400930021477;2;solvant;seringue(s) préremplie(s)
64494476;3400936510630;2;solvant;seringue(s) préremplie(s)
64528487;3400949003426;2;solvant;ampoule(s)
64530919;3400930236697;2;solvant;seringue(s) préremplie(s)
64611260;3400955022824;2;solvant;seringue(s) préremplie(s)
64615821;3400930390894;2;solvant;ampoule(s)
64642836;3400955057017;2;solvant;flacon(s)
64645120;3400956201211;2;solvant;ampoule(s)
64679852;3400934975509;2;solvant;cartouche(s) bicompartimentée(s)
64679852;3400949741823;2;solvant;cartouche(s) bicompartimentée(s)
64679852;3400949741991;2;solvant;cartouche(s) bicompartimentée(s)
64699367;3400930390955;2;solvant;ampoule(s)
64714278;3400930117392;2;solvant;seringue(s) préremplie(s)
64728922;3400934419409;2;solvant;flacon(s)
64832013;3400955022862;2;solvant;seringue(s) préremplie(s)
64835493;3400930205334;9;patch n°9 bande 1;sachet(s)
64849436;3400949004904;2;solvant;ampoule(s)
64851088;3400926994358;2;solvant;seringue(s) préremplie(s)
64883869;3400957984977;2;solvant;flacon(s)
64892672;3400933373320;2;solution;ampoule(s)
64929099;3400927722097;2;solvant;seringue(s) préremplie(s)
64929099;3400930078617;2;solvant;seringue(s) préremplie(s)
64929761;3400955783534;2;solvant;ampoule(s)
64933585;3400932862092;2;solvant;ampoule(s)
64959320;3400936064997;2;solvant;seringue(s) préremplie(s)
64966902;3400955016632;2;solvant;seringue(s) préremplie(s)
64966902;3400955027225;2;solvant;seringue(s) préremplie(s)
64968807;3400957987930;2;solvant;seringue(s) préremplie(s)
65000788;3400957469221;2;solvant;flacon(s)
65023242;3400957469399;2;solvant;flacon(s)
65028549;3400955028857;2;flacon tampon;flacon(s)
65044350;3400958574269;2;solvant;seringue(s) préremplie(s)
65063557;3400934384585;2;solvant;cartouche(s)
65066667;3400934976100;2;solvant;seringue(s) préremplie(s)
65066667;3400934980640;2;solvant;seringue(s) préremplie(s)
65079682;3400956619016;2;solvant;seringue(s) préremplie(s)
65088998;3400956492602;2;solvant;seringue(s) préremplie(s)
65104751;3400955067498;2;solvant;ampoule(s)
65111532;3400958516139;2;solvant;flacon(s)
