Code_CIS;Code_CIP13;Dispositif
69999429;3400936171619;
69999429;3400936025677;
69998996;3400930087718;
69998640;3400933765620;
69998156;3400934502064;avec gobelet(s) doseur(s)
69997905;3400949252619;
69997905;3400939161365;
69997481;3400939180236;
69996970;3400931328193;
69995637;3400938609677;
69995434;3400930140024;
69995434;3400927607035;
69995142;3400934772344;
69994784;3400930150948;
69994784;3400930150931;
69991749;3400926888688;avec aiguille(s)
69991083;3400930045374;avec spatule(s)
69990857;3400930073537;avec sécurité enfant
69990800;3400931406297;
69990693;3400931668305;
69989602;3400941703546;
69989424;3400935805416;
69987156;3400957554477;
69987156;3400957554309;
69985835;3400949624638;
69985835;3400949624348;
69985582;3400955066279;
69985493;3400957335175;
69985493;3400957335007;
69985493;3400932725328;
69985493;3400932371518;
69985493;3400932319701;
69985098;3400932247400;
69984085;3400930853627;
69983777;3400958698668;
69982928;3400939184029;
69982586;3400935260918;
69982223;3400935045638;
69982223;3400935045119;
69981979;3400936249943;
69980852;3400937723640;
69980699;3400931178200;
69979597;3400934408342;
69979273;3400930063064;
69978449;3400927694431;
69978246;3400933314019;avec seringue(s) pour administration orale
69978029;3400930228074;
69977393;3400937658843;
69977393;3400937658553;
69977258;3400930084939;
69976462;3400937625494;
69976462;3400935836113;
69976277;3400938766035;
69976277;3400938765663;
69976277;3400938765373;
69974746;3400956716968;
69974746;3400936954397;
69974746;3400930235430;
69974276;3400936975620;
69974276;3400936975569;
69974066;3400938739299;
69974066;3400938596748;
69973822;3400936261020;
69972923;3400934449093;
69972332;3400930170458;
69970484;3400934869839;
69970484;3400934869778;
69970324;3400956451678;
69969425;3400939111919;
69969418;3400926604622;
69969418;3400926604103;
69968095;3400934764479;
69967748;3400933483999;
69967246;3400938084931;
69967100;3400930023792;
69966888;3400955031116;
69966525;3400930236567;
69966450;3400930106495;
69966450;3400930106464;
69963066;3400927892912;
69962765;3400930110959;
69962313;3400930149263;
69962142;3400941594304;
69962142;3400941593871;
69961371;3400927571091;
69960643;3400930147696;
69960643;3400930147689;
69960586;3400936909335;
69960586;3400933783488;
69959452;3400934213571;
69955824;3400936094406;
69954238;3400956114702;
69953524;3400935858054;
69953339;3400930099957;
69950357;3400939765815;
69950357;3400931972273;
69949390;3400930228159;
69948865;3400955073925;
69948865;3400955073901;
69948420;3400934599057;
69948235;3400930144503;
69948153;3400934692178;
69947902;3400933187545;
69946266;3400930160770;
69946106;3400935634139;
69945545;3400930011140;
69943900;3400934884627;
69942983;3400930169841;
69942983;3400930169834;
69942798;3400938001037;
69941714;3400935618160;
69941269;3400930021026;avec inhalateur(s)
69941269;3400926754983;avec inhalateur(s)
69941194;3400930186435;
69941194;3400927458040;
69940078;3400937806886;
69940007;3400936819054;
69939535;3400930217832;
69939179;3400930005521;
69939179;3400930005460;
69938682;3400930213988;
69937648;3400930063453;
69937299;3400936367210;
69937274;3400937809498;dans stylo jetable
69935992;3400934715563;
69935871;3400937294058;
69935871;3400936818972;
69935063;3400930117408;"avec adaptateur(s) pour flacon;avec aiguille(s) sécurisée(s)"
69934919;3400939478814;
69931595;3400933104399;
69931595;3400933104160;
69931588;3400932857012;
69931588;3400931922827;
69931556;3400955038115;
69930924;3400930253007;
69930924;3400930252994;
69928332;3400935562937;
69925400;3400922096261;
69924355;3400922097381;
69924355;3400922097152;
69923545;3400930024317;
69923050;3400938339994;
69923011;3400938150797;
69923011;3400937944953;
69922952;3400930060650;
69922952;3400930060629;
69922895;3400939749907;
69922564;3400934794407;
69922564;3400934794346;
69921291;3400958386244;
69919835;3400930084489;
69919810;3400936097018;
69919792;3400956451449;
69918249;3400926619121;
69918085;3400933851309;
69918085;3400930166093;
69916757;3400938233865;
69916198;3400939717449;
69916198;3400939717210;
69916198;3400930118788;
69915160;3400934228599;
69913825;3400935133786;
69913330;3400956197736;
69913202;3400941686474;
69912584;3400949004027;
69912100;3400949912001;
69912100;3400938951158;
69911774;3400927831997;
69911176;3400930106099;
69910715;3400930039106;
69908842;3400949413959;
69908842;3400949413898;
69907338;3400939423692;
69905807;3400933105860;
69905807;3400933105570;
69905668;3400939853154;
69905668;3400939852782;
69903585;3400958576331;
69903578;3400936698734;
69902540;3400949004553;
69902323;3400956030453;
69902323;3400937199384;
69902323;3400934306815;
69901965;3400956155804;
69899592;3400930219232;
69899261;3400930085493;
69899083;3400930213674;
69898864;3400930656617;
69898857;3400921687491;
69896678;3400949394296;
69896201;3400936462403;
69896201;3400930626160;
69895658;3400934691867;
69894392;3400956502929;
69894392;3400936267114;
69894104;3400930088777;
69894054;3400927783760;
69893582;3400958486111;
69893582;3400933984281;
69892263;3400939286945;
69892263;3400930226711;
69890458;3400955054627;
69890344;3400949003150;
69890052;3400956451210;
69888457;3400932179060;
69888044;3400937856225;
69888044;3400937403702;
69886424;3400930147566;
69886260;3400935571113;
69884932;3400949974092;
69884544;3400933562175;
69883296;3400934887819;
69882956;3400930227909;
69880873;3400927815850;
69880154;3400930131589;avec canule(s)
69880154;3400930088876;
69878363;3400930246900;
69877717;3400937850889;
69877717;3400937850711;
69875082;3400938501995;
69874361;3400934185564;
69873754;3400930157558;
69872677;3400938109986;
69872677;3400938109757;
69872677;3400938109696;
69871956;3400930188873;
69871657;3400935478511;
69871575;3400949393527;
69871575;3400949393237;
69870854;3400939438771;
69869147;3400938128628;
69869122;3400936510869;
69869122;3400930021484;"avec adaptateur(s) pour flacon;avec aiguille(s) sécurisée(s)"
69869001;3400930149225;
69868248;3400937856164;
69868248;3400937402989;
69867865;3400939628110;
69867826;3400938598520;
69867826;3400938598179;
69867452;3400939069593;
69865070;3400932592999;
69865070;3400930067826;
69865024;3400930545805;
69864424;3400936806795;
69864367;3400930910849;
69863646;3400956116652;
69863646;3400934614118;
69862722;3400957679828;
69862722;3400957679767;
69862722;3400957515096;
69862722;3400957514907;
69862028;3400930180235;
69861990;3400930693117;
69860739;3400930132173;
69859092;3400932851218;
69858631;3400930215227;
69858332;3400930001042;
69857586;3400936665736;
69857522;3400955075622;
69857248;3400931492405;
69856153;3400926776985;
69855628;3400930102596;
69855489;3400936572843;
69855425;3400941529597;
69855350;3400930188330;
69854597;3400958682520;
69854405;3400930191521;
69854234;3400938574685;
69854234;3400936008878;
69854234;3400936008649;
69854234;3400936008588;
69851117;3400927625992;
69850613;3400934746901;
69849486;3400939118314;
69849244;3400930126929;
69848594;3400930255131;
69847994;3400938081459;
69847791;3400955421832;
69847791;3400932644490;
69847599;3400949926367;
69847599;3400949926138;
69847581;3400933167035;
69847318;3400930042489;"avec aiguille(s);avec tampon(s) alcoolisé(s)"
69847275;3400941902109;
69847275;3400934410642;
69847275;3400934410413;
69847122;3400935783141;
69846255;3400930203736;
69846180;3400939240350;
69846180;3400939240299;
69846102;3400927653629;
