Code_CIS;Code_CIP13;Code_Evnt_Pres;Date_Evnt_Pres;Evnt_Pres
60002283;3400949497294;15;16/03/2011;Déclaration de commercialisation
60002283;3400949497706;15;19/09/2011;Déclaration de commercialisation
60002504;3400933208639;15;03/12/2003;Déclaration de commercialisation
60002504;3400933208639;16;25/09/2019;Déclaration d'arrêt de commercialisation
60003620;3400936963504;15;30/11/2006;Déclaration de commercialisation
60004277;3400936145825;15;11/06/2003;Déclaration de commercialisation
60004487;3400939725192;15;12/12/2011;Déclaration de commercialisation
60004505;3400955074199;15;21/10/2021;Déclaration de commercialisation
60004932;3400930116791;15;21/11/2022;Déclaration de commercialisation
60005856;3400935510259;15;25/03/2004;Déclaration de commercialisation
60007437;3400949444137;15;08/05/2012;Déclaration de commercialisation
60007437;3400949444946;15;08/05/2012;Déclaration de commercialisation
60007960;3400936377554;15;04/04/2005;Déclaration de commercialisation
60008724;3400930168592;15;25/08/2021;Déclaration de commercialisation
60008845;3400932363704;15;19/05/1964;Déclaration de commercialisation
60008845;3400932363872;15;19/05/1964;Déclaration de commercialisation
60008927;3400939787237;15;01/08/2012;Déclaration de commercialisation
60008927;3400939787237;16;02/04/2019;Déclaration d'arrêt de commercialisation
60009573;3400930167298;15;10/06/2021;Déclaration de commercialisation
60009573;3400930167304;15;26/07/2019;Déclaration de commercialisation
60009573;3400930167304;16;28/06/2021;Déclaration d'arrêt de commercialisation
60010084;3400955060598;15;17/06/2019;Déclaration de commercialisation
60010166;3400936694651;15;03/04/2006;Déclaration de commercialisation
60010885;3400938093346;15;14/04/2009;Déclaration de commercialisation
60010967;3400933783310;15;19/01/1997;Déclaration de commercialisation
60014894;3400926617110;15;10/03/2015;Déclaration de commercialisation
60016308;3400937405942;15;30/10/2006;Déclaration de commercialisation
60016589;3400936571204;15;01/02/2006;Déclaration de commercialisation
60018088;3400936513303;15;13/06/2006;Déclaration de commercialisation
60018088;3400956582013;15;13/06/2006;Déclaration de commercialisation
60018088;3400956582013;16;31/12/2022;Déclaration d'arrêt de commercialisation
60018444;3400930100998;15;23/05/2018;Déclaration de commercialisation
60018444;3400930100998;16;30/12/2020;Déclaration d'arrêt de commercialisation
60018444;3400930101001;15;06/01/2021;Déclaration de commercialisation
60018896;3400927943812;15;08/01/2015;Déclaration de commercialisation
60018896;3400927944123;15;08/01/2015;Déclaration de commercialisation
60019101;3400932029808;15;19/02/1979;Déclaration de commercialisation
60019329;3400930076514;15;11/05/2017;Déclaration de commercialisation
60019350;3400930020777;15;16/02/2016;Déclaration de commercialisation
60019350;3400930142516;15;18/02/2019;Déclaration de commercialisation
60019350;3400930199848;15;26/10/2020;Déclaration de commercialisation
60019350;3400930199855;15;14/12/2020;Déclaration de commercialisation
