Code_ CIS;Nom_Specialite;Statut_AMM;Code_Statut;Date_AMM;Date_Auto;Date_fin_statut_actif_AMM;Procedure;Code_Procedure;Lib_ATC;Code_ATC
60002283;ANASTROZOLE ACCORD 1 mg, comprimé pelliculé;Actif;1;28/10/2010;;;Procédure de reconnaissance mutuelle;21;Anastrozole;L02BG03
60002504;RANITIDINE BIOGARAN 150 mg, comprimé effervescent;Archivé;3;04/07/1989;;08/10/2021;Procédure nationale;1;Ranitidine;A02BA02
60003620;BECLOSPIN 800 microgrammes/2ml suspension pour inhalation par nébuliseur;Actif;1;06/01/2006;;;Procédure de reconnaissance mutuelle;21;Béclométasone;R03BA01
60004277;FENOFIBRATE TEVA 100 mg, gélule;Actif;1;06/12/1996;;;Procédure nationale;1;Fénofibrate;C10AB05
60004487;TRAMADOL EG L.P. 200 mg, comprimé à libération prolongée;Actif;1;07/09/2009;;;Procédure nationale;1;Tramadol;N02AX02
60004505;CABAZITAXEL REDDY PHARMA 60 mg, solution à diluer et solvant pour solution pour perfusion;Actif;1;18/06/2020;;;Procédure décentralisée;32;Cabazitaxel;L01CD04
60004932;VILDAGLIPTINE/METFORMINE SANDOZ 50 mg/1000 mg, comprimé pelliculé;Actif;1;27/10/2017;;;Procédure décentralisée;32;Metformine et vildagliptine;A10BD08
60005856;FAMOTIDINE EG 20 mg, comprimé pelliculé;Actif;1;22/12/1999;;;Procédure de reconnaissance mutuelle;21;Famotidine;A02BA03
60007437;ATORVASTATINE TEVA SANTE 40 mg, comprimé pelliculé;Actif;1;22/11/2010;;;Procédure décentralisée;32;Atorvastatine;C10AA05
60007960;AFTAGEL, gel buccal;Actif;1;06/08/1996;01/06/1970;;Procédure nationale;1;Lidocaïne en association;N01BB52
60008724;DUTASTERIDE VIATRIS 0,5 mg, capsule molle;Actif;1;20/12/2018;;;Procédure décentralisée;32;Dutastéride;G04CB02
60008845;GLUCOSE BIOSEDRA 15 POUR CENT, solution pour perfusion;Actif;1;05/03/1998;18/12/1968;;Procédure nationale;1;Glucides;B05BA03
60008927;RIVASTIGMINE EG 1,5 mg, gélule;Archivé;3;20/10/2009;;08/11/2019;Procédure décentralisée;32;Rivastigmine;N06DA03
60009573;PARACETAMOL/CODEINE TEVA 500 mg/30 mg, comprimé pelliculé;Actif;1;05/12/2018;;;Procédure décentralisée;32;Codéine et paracétamol;N02AJ06
60010084;THIOPENTAL VUAB 500 mg, poudre pour solution injectable;Actif;1;28/11/2018;;;Procédure nationale;1;Thiopental;N01AF03
60010166;CHLORURE DE SODIUM PROAMP 0,0585 g/ml (5,85%), solution à diluer pour perfusion;Actif;1;02/09/2005;;;Procédure de reconnaissance mutuelle;21;Chlorure de sodium;B05XA03
60010885;CIPROFLOXACINE SUN 250 mg, comprimé pelliculé;Actif;1;06/07/2007;;;Procédure nationale;1;Ciprofloxacine;J01MA02
