Code_CIS;Num_Element;Forme_Phar_Element;Nom_Element;Nom_Nature;Reference_dosage;Code_Substance;numOrdreEdit;Dosage
69995637;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;33617;1;200 mg pour un comprimé
69991749;1;solution;solution;Fractions thérapeutiques.;pour une seringue préremplie de 0,15 ml;02345;1;7,5 mg pour une seringue préremplie de 0,15 ml
69991083;1;vernis à ongles;vernis à ongles;Fractions thérapeutiques.;pour 100 ml;26590;1;5 g
69990857;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;97435;1;40 mg pour un comprimé
69990800;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;82801;1;125,0 mg
69985582;1;solution;solution;Fractions thérapeutiques.;pour 1 mL de solution à diluer;76710;1;100 microgrammes pour 1 mL de solution à diluer
69985493;1;solution;solution;Fractions thérapeutiques.;pour 100 ml;03946;23;0,1 g
69983777;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;00141;1;500 mg pour un flacon
69982928;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;62155;1;0,5 mg pour un comprimé
69982586;3;solution;compartiment 3 : solution d'acides aminés;Fractions thérapeutiques.;pour 500 ml;00563;3;2,73 g
69982586;1;solution;compartiment 1 : solution de glucose;Fractions thérapeutiques.;pour 500 ml;00529;17;150,00 g
69982223;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;52431;1;6,676  mg
69979597;1;gel;gel;Fractions thérapeutiques.;pour 100 g de gel;00037;1;1 g
69979273;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;44580;2;0,5 g pour un flacon
69979273;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;49416;1;2 g pour un flacon
69978246;1;poudre;poudre;Fractions thérapeutiques.;pour 1 ml de suspension reconstituée;05248;1;100,00 mg pour 1 ml de suspension reconstituée
69978246;1;poudre;poudre;Fractions thérapeutiques.;pour 1 ml de suspension reconstituée;93286;2;12,50 mg pour 1 ml de suspension reconstituée
69976277;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;36192;1;500 mg pour un comprimé
69974746;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;91930;1;25 mg
69974276;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;42406;1;50 mg pour une gélule
69974066;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;67432;2;15,29 mg
69974066;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;83912;1;9,44 mg
69972923;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;70320;1;4,56 mg
69966888;1;solution;solution;Fractions thérapeutiques.;pour 0,9 ml de solution;47834;1;6,75 mg pour 0,9 ml de solution
69962765;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;56421;1;100 mg pour un comprimé
69961204;1;collyre;collyre;Fractions thérapeutiques.;pour 1 ml de solution;15009;2;5,0 mg
69961204;1;collyre;collyre;Fractions thérapeutiques.;pour 1 ml de solution;38467;1;1,3 mg
69960586;1;capsule;capsule;Fractions thérapeutiques.;pour une capsule;36246;1;527,1 mg
69954238;1;solution;solution;Fractions thérapeutiques.;pour 10 ml;34909;1;50 microgrammes
69953524;1;dispositif;dispositif;Fractions thérapeutiques.;pour un dispositif transdermique de 3,75 cm²;01786;1;0,585 mg pour un dispositif transdermique de 3,75 cm²
69953339;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;72550;1;3,8 mg
69948865;1;solution;solution;Fractions thérapeutiques.;pour 1 mL de solution;09745;1;1 mg
69946266;1;solution;solution;Fractions thérapeutiques.;pour 1 mL de solution;98145;1;2,5 mg pour 1 mL de solution
69942983;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;19809;1;40 mg pour un comprimé
69941269;1;poudre;poudre;Fractions thérapeutiques.;pour une gélule;20884;1;50 microgrammes
69939535;1;solution;solution;Fractions thérapeutiques.;pour une ampoule de 2 mL;05363;1;100 microgrammes
69939179;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;67432;2;15,29 mg
69939179;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;83912;1;18,88 mg
69937299;1;solution;solution;Fractions thérapeutiques.;pour 1 ml de solution;56635;1;5,00 mg
69935992;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;72087;1;10 mg
69935063;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;43910;1;30 mg pour un flacon
69931595;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;52431;1;3,338 mg
69931556;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;32693;1;1,0 g pour un flacon
69930924;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;39727;1;5 mg pour un comprimé
69923011;1;gélule;gélule;Fractions thérapeutiques.;pour une gélule;39727;1;10,00 mg pour une gélule
69922895;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;47554;1;2,1 mg
69922564;1;lyophilisat;lyophilisat;Fractions thérapeutiques.;pour un lyophilisat;32627;6;10 mg
69919835;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;47372;1;50 mg pour un flacon
69918085;1;collyre;collyre;Fractions thérapeutiques.;pour 1 ml;51528;1;20 mg
69916198;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;04442;1;390 mg
69915160;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;05248;1;1 g
69913330;1;solution;solution;Fractions thérapeutiques.;pour 4 ml;48296;2;600 mg pour 4 ml
69912100;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;52431;1;3,339 mg
69911774;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;89971;1;15 mg pour un comprimé
69911176;1;émulsion;émulsion;Fractions thérapeutiques.;pour 1000 ml d'émulsion après mélange;00529;23;85 g pour 1000 ml d'émulsion après mélange
69911176;1;émulsion;émulsion;Fractions thérapeutiques.;pour 1000 ml d'émulsion après mélange;00563;7;4,3 g pour 1000 ml d'émulsion après mélange
69911176;1;émulsion;émulsion;Fractions thérapeutiques.;pour 1000 ml d'émulsion après mélange;44707;18;2,3 g pour 1000 ml d'émulsion après mélange
69911176;1;émulsion;émulsion;Fractions thérapeutiques.;pour 1000 ml d'émulsion après mélange;51513;17;0,28 gpour 1000 ml d'émulsion après mélange
69911176;1;émulsion;émulsion;Fractions thérapeutiques.;pour 1000 ml d'émulsion après mélange;69380;22;0,0066 g pour 1000 ml d'émulsion après mélange
69911176;1;émulsion;émulsion;Fractions thérapeutiques.;pour 1000 ml d'émulsion après mélange;84160;19;0,61 g pour 1000 ml d'émulsion après mélange
69911176;1;émulsion;émulsion;Fractions thérapeutiques.;pour 1000 ml d'émulsion après mélange;89235;21;1,6 g pour 1000 ml d'émulsion après mélange
69907338;1;granulés;granulés;Fractions thérapeutiques.;pour un sachet;78578;1;3 g
69905807;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;52431;1;1,669 mg
69905668;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;64438;1;45,76 mg
69903585;1;poudre;poudre;Fractions thérapeutiques.;pour un flacon;39476;1;0,5 mg
69902323;1;comprimé;comprimé;Fractions thérapeutiques.;pour un comprimé;19809;1;20 mg pour un comprimé
69901965;1;solution;solution;Fractions thérapeutiques.;pour une ampoule;57088;1;20 mg
