Code_CIS;Code_Evnt_Spc;Date_Evnt_Spc;Date_Echeance;Type_Evnt_Spc;Evnt_Mar_Spc
60002504;996;08/10/2021;;Changement de statut;archivé
60002504;992;17/02/2021;;Changement de statut;suspension
60003620;998;28/02/2017;;Changement de procédure;changement de procédure
60007960;900;06/08/1996;;Statut actif;statut actif
60008845;900;05/03/1998;;Statut actif;statut actif
60008927;996;08/11/2019;;Changement de statut;archivé
60010166;998;12/12/2006;;Changement de procédure;changement de procédure
60014894;900;20/09/2012;;Statut actif;statut actif
60019101;900;06/10/1983;;Statut actif;statut actif
60021216;900;25/04/1988;;Statut actif;statut actif
60028050;996;20/09/2022;;Changement de statut;archivé
60030980;900;30/09/1992;;Statut actif;statut actif
60034644;900;04/08/1998;;Statut actif;statut actif
60037327;900;03/02/1998;;Statut actif;statut actif
60040145;900;13/02/1996;;Statut actif;statut actif
60046529;992;08/09/2022;;Changement de statut;suspension
60061171;900;17/07/1992;;Statut actif;statut actif
60068251;996;01/01/2021;;Changement de statut;archivé
60068333;996;01/01/2021;;Changement de statut;archivé
60071233;996;19/08/2022;;Changement de statut;archivé
60071952;998;02/10/2012;;Changement de procédure;changement de procédure
60072506;996;31/03/2019;;Changement de statut;archivé
60073907;996;02/12/2021;;Changement de statut;archivé
60073907;995;21/10/2015;;Changement de statut;actif
60073907;992;18/12/2014;;Changement de statut;suspension
60075064;900;08/12/1997;;Statut actif;statut actif
60083132;996;12/04/2022;;Changement de statut;archivé
60092590;900;26/04/1989;;Statut actif;statut actif
60095056;900;22/04/1996;;Statut actif;statut actif
60095729;900;27/12/1996;;Statut actif;statut actif
60105162;998;05/06/2008;;Changement de procédure;changement de procédure
60108870;996;18/11/2020;;Changement de statut;archivé
60109303;996;25/01/2022;;Changement de statut;archivé
60110031;900;10/12/1996;;Statut actif;statut actif
60111813;998;17/02/2011;;Changement de procédure;changement de procédure
60118715;900;13/11/1991;;Statut actif;statut actif
60123979;996;16/10/2018;;Changement de statut;archivé
60123979;995;10/02/2010;;Changement de statut;actif
60123979;992;12/01/2010;;Changement de statut;suspension
60126612;900;29/05/2017;;Statut actif;statut actif
60127671;900;28/05/1996;;Statut actif;statut actif
60130386;900;13/09/1995;;Statut actif;statut actif
60130742;996;11/08/2022;;Changement de statut;archivé
60132572;900;29/11/1990;;Statut actif;statut actif
60145801;996;20/12/2022;;Changement de statut;archivé
60150232;900;18/07/1983;;Statut actif;statut actif
60150467;996;06/12/2021;;Changement de statut;archivé
60150830;996;01/01/2021;;Changement de statut;archivé
60152607;900;20/11/1997;;Statut actif;statut actif
60154309;900;19/04/2010;;Statut actif;statut actif
60161143;998;30/08/2012;;Changement de procédure;changement de procédure
60166980;996;12/11/2018;;Changement de statut;archivé
60177628;900;27/06/2019;;Statut actif;statut actif
60178712;996;15/07/2019;;Changement de statut;archivé
60178712;900;17/02/1998;;Statut actif;statut actif
60181733;900;06/12/1995;;Statut actif;statut actif
60184188;900;01/10/1986;;Statut actif;statut actif
60196945;996;07/09/2021;;Changement de statut;archivé
60206154;900;17/07/1997;;Statut actif;statut actif
60216725;996;15/03/2018;;Changement de statut;archivé
60224437;996;18/05/2021;;Changement de statut;archivé
60231339;996;10/08/2020;;Changement de statut;archivé
60232074;900;16/12/1997;;Statut actif;statut actif
60237790;996;19/01/2021;;Changement de statut;archivé
60240181;900;16/12/1997;;Statut actif;statut actif
60246750;900;10/01/1989;;Statut actif;statut actif
60247432;995;09/07/2015;;Changement de statut;actif
60247432;992;18/12/2014;;Changement de statut;suspension
60250567;996;21/12/2021;;Changement de statut;archivé
60252340;996;15/06/2022;;Changement de statut;archivé
60260497;998;19/05/2011;;Changement de procédure;changement de procédure
60260910;998;28/02/2017;;Changement de procédure;changement de procédure
60262879;996;17/05/2018;;Changement de statut;archivé
60264830;996;14/12/2021;;Changement de statut;archivé
60270114;900;30/07/1985;;Statut actif;statut actif
60270395;996;06/11/2020;;Changement de statut;archivé
60271045;998;07/12/2017;;Changement de procédure;changement de procédure
60271045;900;27/09/1982;;Statut actif;statut actif
60271248;900;29/10/1986;;Statut actif;statut actif
60273765;996;14/06/2021;;Changement de statut;archivé
60281210;998;03/02/2023;;Changement de procédure;changement de procédure
60288137;996;03/11/2020;;Changement de statut;archivé
60288817;996;08/12/2020;;Changement de statut;archivé
60290800;900;22/10/1986;;Statut actif;statut actif
60291795;900;14/03/1996;;Statut actif;statut actif
60292267;992;26/08/2020;;Changement de statut;suspension
60292349;995;13/03/1991;;Changement de statut;actif
60292349;992;27/10/1990;;Changement de statut;suspension
60293846;900;04/06/1992;;Statut actif;statut actif
60295046;900;04/06/1992;;Statut actif;statut actif
60298028;900;05/01/1996;;Statut actif;statut actif
60303404;996;16/06/2022;;Changement de statut;archivé
60304050;900;16/12/1997;;Statut actif;statut actif
60307242;996;01/03/2021;;Changement de statut;archivé
60307242;900;01/04/1997;;Statut actif;statut actif
60308369;996;14/06/2021;;Changement de statut;archivé
60311803;996;15/10/2021;;Changement de statut;archivé
60322461;995;26/10/2017;;Changement de statut;actif
60322461;992;04/08/2017;;Changement de statut;suspension
60322461;992;03/05/2017;;Changement de statut;suspension
60323969;998;30/06/2011;;Changement de procédure;changement de procédure
60324658;900;11/12/1992;;Statut actif;statut actif
60327056;996;23/06/2021;;Changement de statut;archivé
60327266;996;17/03/2022;;Changement de statut;archivé
