Code_Substance;Code_SMS;Lib_Pref_Fran;Lib_Pref_Anglais;Date_Crea_Substance;Date_Modif_Substance
00001;100000090166;lopéramide (chlorhydrate de);;08/07/1997;08/11/2011
00005;100000092077;acétylsalicylique (acide);;08/07/1997;07/02/2023
00006;100000091847;aspartique (acide);;08/07/1997;02/03/2023
00008;100000092271;borique (acide);;08/07/1997;30/06/2008
00011;100000093142;citrique (acide);;08/07/1997;06/10/2008
00026;100000078782;tartrique (acide);;08/07/1997;02/03/2023
00027;100000086663;lauromacrogol 400;;08/07/1997;07/06/2012
00028;100000091959;undécylénique (acide);;08/07/1997;15/09/2010
00029;100000083681;ifosfamide;;08/07/1997;02/12/2011
00031;100000092328;alanine;;08/07/1997;06/06/2008
00033;100000086395;benzylique (alcool);;08/07/1997;01/10/2008
00034;100000088212;bupivacaïne (chlorhydrate de) monohydraté;;08/07/1997;02/07/2008
00035;100000076353;éthanol à 96 pour cent;;08/07/1997;02/03/2023
00037;100000092272;diclofénac sodique;;08/07/1997;09/07/2014
00042;100000092270;amantadine (chlorhydrate d');;08/07/1997;11/06/2008
00050;100000086923;androstanolone;;08/07/1997;
00052;100000092009;apomorphine (chlorhydrate d') hémihydraté;;08/07/1997;09/01/2023
00053;100000078614;argent (nitrate d');;08/07/1997;19/06/2008
00054;100000078613;argent colloïdal;;08/07/1997;14/02/2023
00057;100000092010;asparaginase;;08/07/1997;
00059;100000092008;triphosadénine;;08/07/1997;02/06/2008
00063;100000089788;baryum (sulfate de);;08/07/1997;11/01/2023
00069;100000089335;bétaïne;;08/07/1997;27/06/2008
00072;100000092789;biotine;;08/07/1997;27/04/2023
00073;100000091949;bisacodyl;;08/07/1997;27/04/2023
00077;100000092625;pilocarpine (nitrate de);;08/07/1997;04/01/2011
00078;100000092294;pindolol;;08/07/1997;04/01/2011
00081;100000092245;pipobroman;;08/07/1997;17/12/2010
00082;100000082196;pipotiazine;;08/07/1997;17/12/2010
00083;100000091987;piracétam;;08/07/1997;17/12/2010
00086;100000090350;pizotifène (malate de);;08/07/1997;27/12/2010
00087;100000091934;dosulépine (chlorhydrate de);;08/07/1997;06/03/2009
00090;100000089071;potassium (sulfate de);;08/07/1997;03/03/2023
00093;100000091807;potassium (chlorure de);;08/07/1997;30/12/2010
00095;100000091320;potassium (iodure de);;08/07/1997;30/12/2010
00096;100000091826;potassium (hydroxyde de);;08/07/1997;12/05/2011
00101;100000091094;procaïne (chlorhydrate de);;08/07/1997;16/12/2010
00108;100000078511;fructose;;08/07/1997;23/04/2009
00112;100000092854;Lactobacillus fermentum;;08/07/1997;14/02/2023
00114;100000082623;difluprednate;;08/07/1997;17/12/2008
00126;100000090201;tamoxifène (citrate de);;08/07/1997;21/10/2010
00127;100000079605;baume du Pérou;;08/07/1997;20/11/1998
00129;NA;benjoin du Laos;;08/07/1997;27/01/2023
00132;100000128467;boldo (feuille de);;08/07/1997;03/03/2023
00134;100000078654;bourdaine (écorce de);;08/07/1997;26/11/2003
00141;100000088395;dacarbazine;;08/07/1997;27/11/2008
00152;100000076191;niaouli (huile essentielle de);;08/07/1997;30/04/2013
00155;100000091979;eucalyptus (huile essentielle d');;08/07/1997;29/04/2013
00157;100000091958;térébenthine (huile essentielle de);;08/07/1997;14/02/2023
00158;100000080119;clou de girofle (huile essentielle de);;08/07/1997;16/03/2018
00159;100000077022;thym (huile essentielle de);;08/07/1997;03/03/2023
00160;100000092241;menthe poivrée (huile essentielle de);;08/07/1997;06/08/2021
00163;100000090630;fibrinogène humain ;;08/07/1997;30/05/2012
00166;100000136435;soufre précipité;;08/07/1997;14/02/2023
00180;NA;bile de boeuf (extrait de) (fluide);;08/07/1997;
00185;100000088371;fénotérol (bromhydrate de);;08/07/1997;08/04/2009
00191;100000091380;acébutolol (chlorhydrate d');;08/07/1997;14/10/2008
00193;NA;oeillette (huile d') (esters éthyliques des acides gras iodés de l');;08/07/1997;16/02/2023
00195;100000081356;céfadroxil;;08/07/1997;15/02/2023
00196;100000091059;lévonorgestrel;;08/07/1997;14/11/2011
00197;100000092191;protiréline;;08/07/1997;10/12/2010
00199;100000081977;pinavérium (bromure de);;08/07/1997;01/07/2008
00200;100000090033;timolol (maléate de);;08/07/1997;08/10/2010
00210;100000091840;metformine (embonate de);;08/07/1997;10/10/2011
00213;100000090680;séné (feuille de);;08/07/1997;03/03/2023
00216;100000092515;sulindac;;08/07/1997;04/11/2010
00217;NA;magnésium (aspartate de) et de potassium;;08/07/1997;16/02/2023
00218;100000089049;thym;;08/07/1997;30/05/2017
00234;NA;extrait d'hamamélis (fluide);;08/07/1997;03/03/2023
00241;NA;passiflore (partie aérienne de), extrait fluide de;;08/07/1997;16/02/2023
00250;NA;grindélia (teinture de);;08/07/1997;09/03/2023
00264;100000092344;trihexyphénidyle (chlorhydrate de);;08/07/1997;04/10/2010
00280;100000085153;amikacine (sulfate d');;08/07/1997;11/06/2008
00291;100000081301;fénoprofène;;08/07/1997;
00294;100000080686;fluméquine;;08/07/1997;15/04/2009
00297;100000091744;lysine (acétate de);;08/07/1997;16/12/2011
00304;100000078473;ferreux (succinate);;08/07/1997;09/04/2009
00312;100000092402;céfalexine monohydratée;;08/07/1997;24/10/2007
00313;100000092570;triamtérène;;08/07/1997;01/10/2010
00323;100000077518;triclocarban;;08/07/1997;01/10/2010
00328;100000090410;bromocriptine (mésilate de);;08/07/1997;25/01/2012
00335;100000091363;spiramycine (adipate de);;08/07/1997;18/11/2010
00336;NA;myrtécaïne (laurilsulfate de);;08/07/1997;13/07/2011
00338;100000091242;trimétazidine (dichlorhydrate de);;08/07/1997;04/10/2010
00342;100000092388;triméthoprime;;08/07/1997;04/10/2010
00345;100000092597;chénodésoxycholique (acide) ;;08/07/1997;12/01/2023
00346;100000078518;poly(alcool vinylique);;08/07/1997;28/12/2010
00355;100000091111;trimébutine (maléate de);;08/07/1997;21/10/2021
00356;100000092541;trométamol;;08/07/1997;31/08/2010
00357;NA;citrate de trométamol;;08/07/1997;16/02/2023
00358;100000091954;tropicamide;;08/07/1997;03/09/2010
00359;100000090302;calcitonine de saumon;;08/07/1997;27/01/2003
00360;100000090583;trimipramine (mésilate de);;08/07/1997;04/10/2010
00361;100000092086;troxérutine;;08/07/1997;15/09/2010
00374;100000090545;érythromycine (éthylsuccinate d');;08/07/1997;27/07/2010
00376;NA;urokinase ;;08/07/1997;04/02/2013
00381;100000089972;phénytoïne sodique;;08/07/1997;31/12/2010
00382;100000091647;lévothyroxine sodique;;08/07/1997;10/07/2013
00390;100000082481;pénicillamine;;08/07/1997;07/01/2011
00393;100000090449;pentoxyvérine (hydrogénocitrate de);;08/07/1997;07/01/2011
00414;100000076851;bismuth (sous-succinate de);;08/07/1997;28/04/2023
00420;100000089693;caféine;;08/07/1997;15/02/2023
00421;300000038170;calcifédiol monohydraté;;08/07/1997;04/07/2013
00428;100000091518;carbonate de calcium;;08/07/1997;07/07/2008
00430;100000090106;calcium (chlorure de) dihydraté;;08/07/1997;07/07/2008
00431;100000088337;phosphate tricalcique;;08/07/1997;03/01/2011
00432;100000088912;calcium (gluconate de);;08/07/1997;21/11/2018
00436;100000090737;camphre racémique;;08/07/1997;23/07/2008
00440;100000087080;carmellose sodique;;08/07/1997;25/06/2010
00459;100000083546;calcium édétate de sodium;;08/07/1997;23/07/2008
00461;100000084299;clobazam;;08/07/1997;22/10/2008
00463;100000084528;clonazépam;;08/07/1997;20/03/2012
00464;100000090325;clonidine (chlorhydrate de);;08/07/1997;11/05/2011
00467;100000079790;codéine;;08/07/1997;16/05/2011
00469;100000090556;colchicine;;08/07/1997;29/10/2008
00471;100000084250;cortivazol;;08/07/1997;17/11/2008
00473;100000092054;cromoglicate de sodium;;08/07/1997;19/05/2011
00474;100000092181;cuivre (sulfate de) pentahydraté;;08/07/1997;19/11/2008
00477;100000083990;cystéine;;08/07/1997;26/11/2008
00489;100000091060;chlorpromazine (chlorhydrate de);;08/07/1997;23/09/2008
00500;100000091081;prednisolone (caproate de);;08/07/1997;15/12/2010
00503;100000090184;céfalotine sodique;;08/07/1997;10/03/2010
00509;NA;fer (oxalate de);;08/07/1997;09/03/2023
00511;100000087595;ferreux (sulfate) heptahydraté;;08/07/1997;04/11/2010
00512;100000078447;ferreux (ascorbate);;08/07/1997;08/04/2009
00515;NA;flavodate de sodium;;08/07/1997;07/02/2023
00521;100000077874;gaïacol;;08/07/1997;27/04/2009
00523;100000115711;gélatine ;;08/07/1997;16/01/2012
00525;100000087360;gentamicine (sulfate de);;08/07/1997;29/04/2009
00527;100000090151;gliclazide;;08/07/1997;29/04/2009
00529;100000078171;glucose;;08/07/1997;17/09/2021
00532;100000092821;glycérol;;08/07/1997;19/12/2011
00533;100000080115;citrulline (malate de);;08/07/1997;21/10/2008
00535;100000092588;trétinoïne;;08/07/1997;29/09/2010
00536;NA;phosphate monocalcique monohydraté;;08/07/1997;
00537;100000092913;glutathion;;08/07/1997;07/05/2010
00538;100000091431;ménotropine ;;08/07/1997;04/10/2011
00539;100000087353;hydrogénophosphate de calcium anhydre;;08/07/1997;03/10/2019
00541;100000085802;hespéridineméthylchalcone;;08/07/1997;07/05/2009
00544;100000092646;histidine;;08/07/1997;21/11/2012
00545;100000092260;hydrocortisone (acétate d');;08/07/1997;12/12/2011
00546;NA;hydrocortisone (hydrogénosuccinate sodique d');;08/07/1997;12/12/2011
00547;100000079069;valpromide;;08/07/1997;24/09/2010
00549;100000092589;iode;;08/07/1997;20/11/1998
00550;100000091969;isoleucine;;08/07/1997;20/11/1998
00555;100000092265;leucine;;08/07/1997;21/08/2012
00557;100000091612;médroxyprogestérone (acétate de);;08/07/1997;12/10/2011
00561;100000092162;lorazépam;;08/07/1997;09/11/2011
00563;100000091077;lysine;;08/07/1997;
