Code_Substance;Code_SMS;Lib_Pref_Fran
45730;100000128870;(S)-lactate de sodium
04703;100000087793;4-aminobenzoïque (acide)
26622;100000089317;5-aminolévulinique (acide)
31844;100000085435;abacavir
59266;100000177319;abacavir (chlorhydrate d') monohydraté
77742;100000090705;abacavir (sulfate d')
97144;100000089557;abatacept 
99176;100000078823;abciximab (c7E3b Fab)
01356;100000128630;abeille (venin d')
50947;100000160392;abémaciclib
76107;100000093287;abiratérone
37304;100000124155;abiratérone (acétate d')
29566;300000002660;abrocitinib
16367;100000168547;acalabrutinib
79480;100000078804;acamprosate calcique
20540;100000092276;acarbose
63130;100000092351;acébutolol
00191;100000091380;acébutolol (chlorhydrate d')
62180;100000092759;acéclofénac
00998;100000091427;acénocoumarol
88822;100000091573;acétate de leuproréline
00631;100000089838;acétate de sodium trihydraté
01006;100000092652;acétazolamide
04108;100000088999;acétique (acide)
13647;100000076667;acétique glacial (acide)
05759;100000084619;acétylcholine (chlorure d')
01014;100000092261;acétylcystéine
04129;100000084620;acétylleucine
03107;100000091435;acétylsalicylate de DL-lysine
00005;100000092077;acétylsalicylique (acide)
25715;100000092808;aciclovir
62546;100000089584;acide 5-aminolévulinique (chlorhydrate de l')
35532;100000085258;acide alendronique
90673;100000089017;acide folinique
94866;100000084508;acide gadobénique
08578;100000084604;acitrétine
90708;NA;actée à grappes (rhizome d'), extrait sec de
80114;100000089523;adalimumab 
69506;100000087680;adapalène
58472;100000090470;adéfovir
56132;100000093015;adéfovir dipivoxil
02405;100000078834;adénosine
38296;100000127450;adénosine (triphosphate d') disodique trihydraté
94712;100000086057;adénosine triphosphate disodique
57624;300000016760;adénovirus de chimpanzé codant pour la glycoprotéine Spike du SARS-CoV-2 
32597;300000017648;adénovirus type 26 codant pour la protéine Spike du SARS-CoV-2 
01080;100000092380;adrénaline
04862;100000091095;adrénaline (chlorhydrate d')
04280;100000087265;adrénaline (tartrate d')
04557;100000137654;aescine
61992;100000124505;afatinib
30488;100000144600;afatinib (dimaléate d')
47903;100000091493;aflibercept 
35374;100000092056;agalsidase alfa 
40067;100000089283;agalsidase bêta 
38188;100000085257;agomélatine
24441;100000172035;agomélatine-acide citrique (co-cristal d')
00031;100000092328;alanine
03348;100000087712;albendazole
04871;100000089620;albumine humaine (solution d') 
77753;NA;albumine humaine iodée [125 I] 
51742;100000089024;albumine humaine plasmatique 
55647;100000087395;albumine humaine plasmatique (macroagrégats d')
53745;100000160835;albutrépénonacog alfa 
