CodeUCD;CodeCIP;LibelleUCD;LibelleCIP;Laboratoire;Qte;CodeUCD13;CodeCIP13;Type autorisation 1;Type autorisation 2;Date de commercialisation;Date de suppression;Quantité conditionnement Primaire;Unité conditionnement primaire
9000001;3020201;POSACONAZOLE FRK 100MG CPR;POSACONAZOLE FRK 100MG CPR B96;FRESENIUS KABI;96;3400890000017;3400930202012;AMM;AMM de générique;30/10/2020;;;
9000002;3014718;DAFALGANCAPS 500MG GELU;DAFALGANCAPS 500MG GELU BT16;UPSA SAS;16;3400890000024;3400930147184;AMM;;05/03/2020;;;
9000004;5507018;MELPHALAN TLO 50MG INJ FL+FL;MELPHALAN TLO 50MG INJ FL+FL 1;CSP;1;3400890000048;3400955070184;AMM;AMM de générique;03/09/2020;;10;mL
9000005;3018636;SAWIS 2MG CPR;SAWIS 2MG CPR BT28;GEDEON RICHTER;28;3400890000055;3400930186367;AMM;AMM de générique;06/04/2020;;;
9000005;3021939;SAWIS 2MG CPR;SAWIS 2MG CPR BT84;GEDEON RICHTER;84;3400890000055;3400930219393;AMM;AMM de générique;02/04/2021;;;
9000009;3019308;CEBEMYXINE COLLY FPBD10ML;CEBEMYXINE COLLY FPBD10ML;CHAUVIN;1;3400890000093;3400930193082;AMM;;20/03/2020;;10;mL
9000010;3018694;DAFALGAN 1000MG GELU;DAFALGAN 1000MG GELU BT8;UPSA SAS;8;3400890000109;3400930186947;AMM;;26/11/2020;;;
9000011;5506297;TEICOPLANINE HIK 200MG INJ FL;TEICOPLANINE HIK 200MG INJ FL1;HIKMA FRANCE;1;3400890000116;3400955062974;AMM;AMM de générique;04/09/2020;;;
9000012;5506298;TEICOPLANINE HIK 400MG INJ FL;TEICOPLANINE HIK 400MG INJ FL1;HIKMA FRANCE;1;3400890000123;3400955062981;AMM;AMM de générique;04/09/2020;;;
9000014;3019063;BORAX/BORIQ.VIA12/18MG 5ML;BORAX/BORIQ.VIA12/18MG 5ML 10;VIATRIS SANTE;10;3400890000147;3400930190630;AMM;AMM de générique;29/04/2020;;5;mL
9000014;3019064;BORAX/BORIQ.VIA12/18MG 5ML;BORAX/BORIQ.VIA12/18MG 5ML 20;VIATRIS SANTE;20;3400890000147;3400930190647;AMM;AMM de générique;29/04/2020;;5;mL
9000015;3019828;BRINZOLAMIDE/TIM.EG CY FL5ML;BRINZOLAMIDE/TIM.EG CY FL5ML 1;EG LABO;1;3400890000154;3400930198285;AMM;AMM de générique;15/07/2020;;5;mL
9000016;3005835;CINACALCET ZEN 30MG CPR;CINACALCET ZEN 30MG CPR BT28;ZENTIVA FRANCE;28;3400890000161;3400930058350;AMM;AMM de générique;13/11/2020;;;
9000017;3005839;CINACALCET ZEN 60MG CPR;CINACALCET ZEN 60MG CPR BT28;ZENTIVA FRANCE;28;3400890000178;3400930058398;AMM;AMM de générique;13/11/2020;;;
9000018;3005845;CINACALCET ZEN 90MG CPR;CINACALCET ZEN 90MG CPR BT28;ZENTIVA FRANCE;28;3400890000185;3400930058459;AMM;AMM de générique;13/11/2020;;;
9000019;3015129;MOMETASONE ZEN 50µG NAS 120D;MOMETASONE ZEN 50µG NAS 120D 1;ZENTIVA FRANCE;1;3400890000192;3400930151297;AMM;AMM de générique;06/05/2020;;16;g
9000020;3019526;PREGABALINE CRT 100MG GELU;PREGABALINE CRT 100MG GELU B84;CRISTERS;84;3400890000208;3400930195260;AMM;AMM de générique;30/07/2020;;;
9000021;3019532;PREGABALINE CRT 200MG GELU;PREGABALINE CRT 200MG GELU B84;CRISTERS;84;3400890000215;3400930195321;AMM;AMM de générique;09/07/2020;;;
9000022;3005694;PREGABALINE CRT 50MG GELU;PREGABALINE CRT 50MG GELU BT84;CRISTERS;84;3400890000222;3400930056943;AMM;AMM de générique;09/07/2020;;;
9000023;3017353;TAMSULOSINE ARL LP0,4MG GELU;TAMSULOSINE ARL LP0,4MG GELU30;ARROW GENERIQUE;30;3400890000239;3400930173534;AMM;AMM de générique;02/03/2021;;;
9000024;5506239;ZIRABEV 25MG/ML PERF FL16ML;ZIRABEV 25MG/ML PERF FL16ML 1;PFIZER;1;3400890000246;3400955062394;AMM européenne;Bio similaire;07/07/2020;;16;mL
9000025;5506238;ZIRABEV 25MG/ML PERF FL4ML;ZIRABEV 25MG/ML PERF FL4ML 1;PFIZER;1;3400890000253;3400955062387;AMM européenne;Bio similaire;07/07/2020;;4;mL
9000026;4900375;AROMASINE 25MG CPR AIPDFD IE;AROMASINE 25MG CPR AIPDFD IE30;DIFARMED;30;3400890000260;3400949003754;Autorisation d’importation parallèle;;14/08/2020;;;
9000027;4900379;AVODART 0,5MG CAPS AIPPLA IT;AVODART 0,5MG CAPS AIPPLA IT30;PHARMA LAB;30;3400890000277;3400949003792;Autorisation d’importation parallèle;;02/06/2020;;;
9000030;4900326;DECAPEPTYL 0,1MG F+A.AIPBBAES;DECAPEPTYL 0,1MG F+A.AIPBBAES7;BB FARMA;7;3400890000307;3400949003266;Autorisation d’importation parallèle;;13/10/2020;;1;mL
9000031;4900342;DECAPEPTYL 0,1MG F+A.AIPBBAEL;DECAPEPTYL 0,1MG F+A.AIPBBAEL7;BB FARMA;7;3400890000314;3400949003426;Autorisation d’importation parallèle;;22/06/2021;;1;mL
9000032;4900377;GUTRON 2,5MG CPR AIP PLA RO;GUTRON 2,5MG CPR AIP PLA RO 30;PHARMA LAB;30;3400890000321;3400949003778;Autorisation d’importation parallèle;;18/05/2020;;;
9000032;4900378;GUTRON 2,5MG CPR AIP PLA RO;GUTRON 2,5MG CPR AIP PLA RO 90;PHARMA LAB;90;3400890000321;3400949003785;Autorisation d’importation parallèle;;09/06/2020;;;
9000033;4900362;VENTOLINE 100µG 200D AIPBBA EL;VENTOLINE 100µG 200D AIPBBA EL;BB FARMA;1;3400890000338;3400949003624;Autorisation d’importation parallèle;;13/10/2020;;200;dose
9000034;3018546;VABOREM 1G/1G PERF FL50ML;VABOREM 1G/1G PERF FL50ML 6;MENARINI;6;3400890000345;3400930185469;AMM européenne;;24/07/2020;;50;mL
9000035;3018804;SUXAMETHONIUM AGT 10MG/ML S.;SUXAMETHONIUM AGT 10MG/ML S.10;AGUETTANT;10;3400890000352;3400930188040;AMM;AMM de générique;30/10/2020;;10;mL
9000037;3017444;LEHNING EUPHRASIA N115 BUV30ML;LEHNING EUPHRASIA N115 BUV30ML;LEHNING;1;3400890000376;3400930174449;AMM;;20/03/2020;;30;mL
9000041;3021631;GIVLAARI 189MG/ML INJ FL1ML;GIVLAARI 189MG/ML INJ FL1ML 1;ALNYLAM FRANCE;1;3400890000413;3400930216316;AMM européenne;;08/07/2021;;1;mL
9000041;5507227;GIVLAARI 189MG/ML INJ FL1ML;GIVLAARI 189MG/ML INJ FL1ML 1;ALNYLAM FRANCE;1;3400890000413;3400955072270;AMM européenne;;08/06/2020;08/07/2021;1;mL
9000043;2769271;PALEXIA 20MG/ML BUV FL100ML;PALEXIA 20MG/ML BUV FL100ML 1;GRUNENTHAL;1;3400890000437;3400927692710;AMM;;05/04/2023;21/06/2021;100;mL
9000044;2769288;PALEXIA 20MG/ML BUV FL200ML;PALEXIA 20MG/ML BUV FL200ML 1;GRUNENTHAL;1;3400890000444;3400927692888;AMM;;05/04/2023;21/06/2021;200;mL
9000045;2769265;PALEXIA 4MG/ML BUV FL100ML;PALEXIA 4MG/ML BUV FL100ML 1;GRUNENTHAL;1;3400890000451;3400927692659;AMM;;05/04/2023;21/06/2021;100;mL
9000046;5506753;THERASOLV 100000UI INJ FL8ML;THERASOLV 100000UI INJ FL8ML 1;THERADIAL;1;3400890000468;3400955067535;AMM;;08/06/2021;;8;mL
9000048;5506752;THERASOLV 250000UI INJ FL8ML;THERASOLV 250000UI INJ FL8ML 1;THERADIAL;1;3400890000482;3400955067528;AMM;;08/06/2021;;8;mL
9000050;5506751;THERASOLV 500000UI INJ FL8ML;THERASOLV 500000UI INJ FL8ML 1;THERADIAL;1;3400890000505;3400955067511;AMM;;08/06/2021;;8;mL
9000053;5506871;DEXMEDETOMID.AAN 4µG/ML 100ML;DEXMEDETOMID.AAN 4µG/ML 100ML4;ETHYPHARM LABOR;4;3400890000536;3400955068716;AMM;AMM de générique;12/01/2021;;100;mL
9000054;5506623;CLOXACILLINE PAN 2G INJ FL;CLOXACILLINE PAN 2G INJ FL 10;PANPHARMA;10;3400890000543;3400955066231;AMM;;01/08/2022;;;
9000056;3008236;METOPROLOL ARL 100MG CPR;METOPROLOL ARL 100MG CPR BT30;ARROW GENERIQUE;30;3400890000567;3400930082362;AMM;AMM de générique;15/07/2020;;;
9000056;3008241;METOPROLOL ARL 100MG CPR;METOPROLOL ARL 100MG CPR BT90;ARROW GENERIQUE;90;3400890000567;3400930082416;AMM;AMM de générique;05/05/2020;;;
9000058;5700647;OXYGENE MED AAG VAPO.FIX 100L;OXYGENE MED AAG VAPO.FIX 100L;AIR LIQ ANT GUY;1;3400890000581;3400957006471;AMM;;31/03/2020;;100;L
9000059;3000064;A 313 50000UI CAPS;A 313 50000UI CAPS FL30;PHARMA DEVELOP;30;3400890000598;3400930000649;AMM;;01/07/1971;;;
9000060;3017879;AMIODARONE ARL 200MG CPR;AMIODARONE ARL 200MG CPR BT30;ARROW GENERIQUE;30;3400890000604;3400930178799;AMM;AMM de générique;27/05/2021;;;
9000060;5506500;AMIODARONE ARL 200MG CPR;AMIODARONE ARL 200MG CPR BT50;ARROW GENERIQUE;50;3400890000604;3400955065005;AMM;AMM de générique;27/12/2021;;;
9000061;3019658;ATORVASTATINE CRP 10MG CPR;ATORVASTATINE CRP 10MG CPR B30;CRISTERS;30;3400890000611;3400930196588;AMM;AMM de générique;15/10/2020;;;
9000061;3019663;ATORVASTATINE CRP 10MG CPR;ATORVASTATINE CRP 10MG CPR B90;CRISTERS;90;3400890000611;3400930196632;AMM;AMM de générique;28/08/2020;;;
9000062;3019701;ATORVASTATINE CRP 20MG CPR;ATORVASTATINE CRP 20MG CPR B30;CRISTERS;30;3400890000628;3400930197011;AMM;AMM de générique;28/08/2020;;;
9000062;3019705;ATORVASTATINE CRP 20MG CPR;ATORVASTATINE CRP 20MG CPR B90;CRISTERS;90;3400890000628;3400930197059;AMM;AMM de générique;21/10/2020;;;
9000063;3019745;ATORVASTATINE CRP 40MG CPR;ATORVASTATINE CRP 40MG CPR B30;CRISTERS;30;3400890000635;3400930197455;AMM;AMM de générique;27/08/2020;;;
9000063;3019749;ATORVASTATINE CRP 40MG CPR;ATORVASTATINE CRP 40MG CPR B90;CRISTERS;90;3400890000635;3400930197493;AMM;AMM de générique;09/10/2020;;;
9000064;3019787;ATORVASTATINE CRP 80MG CPR;ATORVASTATINE CRP 80MG CPR B30;CRISTERS;30;3400890000642;3400930197875;AMM;AMM de générique;03/07/2020;;;
9000064;3019791;ATORVASTATINE CRP 80MG CPR;ATORVASTATINE CRP 80MG CPR B90;CRISTERS;90;3400890000642;3400930197912;AMM;AMM de générique;03/07/2020;;;
9000065;3000147;A 313 200000UI POM TB50G;A 313 200000UI POM TB50G;PHARMA DEVELOP;1;3400890000659;3400930001479;AMM;;01/01/1965;;50;g
9000066;3019930;BRINZOLAMIDE/TIM.VIA CY FL5ML;BRINZOLAMIDE/TIM.VIA CY FL5ML1;VIATRIS SANTE;1;3400890000666;3400930199305;AMM;AMM de générique;08/06/2020;;5;mL
9000067;3019569;CLOPID/ACETYL.MYL75/75MG CP;CLOPID/ACETYL.MYL75/75MG 30DU;VIATRIS SANTE;30;3400890000673;3400930195697;AMM européenne;AMM de générique;27/05/2020;;;
9000068;3018873;DUTAS/TAM.BGA0,5/0,4MG GELU;DUTAS/TAM.BGA0,5/0,4MG GELU 30;BIOGARAN;30;3400890000680;3400930188736;AMM;AMM de générique;14/05/2020;;;
9000069;3019002;DUTAS/TAM.ZEN0,5/0,4MG GELU;DUTAS/TAM.ZEN0,5/0,4MG GELU 30;ZENTIVA FRANCE;30;3400890000697;3400930190029;AMM;AMM de générique;20/04/2020;;;
9000070;3019123;FEBUXOSTAT ZYD 120MG CPR;FEBUXOSTAT ZYD 120MG CPR BT28;ZYDUS FRANCE;28;3400890000703;3400930191231;AMM;AMM de générique;30/04/2020;13/07/2021;;
